database,type,year,itle,authors,keywords,pages,abstract
COMPENDEX,Conference article (CA),2022,A Model-Based Testing System for Safety of Railway Interlocking,"Su, Haoxiang (1); Chai, Ming (1); Liu, Hongjie (1); Chai, Jinchuan (2); Yue, Chaopeng (3)",Acceptance tests - Efficiency - Model checking - Railroads - Safety devices - Safety testing - Software testing,6,"Testing is an important safety assurance technique for railway interlocking systems. Model-based testing (MBT) allows for designing and maintaining tests with high-level models and generating test suites from these models automatically. Although MBT has the potential to improve testing efficiency and quality, it is not clear whether this technique is applicable for testing complex variant-rich interlocking software. In this paper, we report our experience in introducing MBT in inter-locking testing. We develop feature models of the interlocking route control process to improve the reusability of the models. The experimental results show that our approach is able to improve the quality and efficiency of real-world interlocking acceptance testing. © 2022 IEEE."
COMPENDEX,Conference article (CA),2022,An Approach for Model Based Testing of Augmented Reality Applications,"Tramontana, Porfirio (1); De Luca, Marco (1); Fasolino, Anna Rita (1)",Augmented reality - Computer aided software engineering - Graphical user interfaces - Software testing,,"The popularity of Augmented Reality (AR) applications has strongly been increased with the worldwide success of the Pokemon Go videogame released by Niantic in 2016. However, AR offers tangible benefits in many further areas beyond entertainment, such as advertisement, education, navigation, maintenance, health, and so on. With the growing spread and success of AR applications in these fields, there has also been a growing necessity for approaches and technologies for assuring the quality of these applications, such as testing. A few technologies and frameworks have been recently proposed supporting the implementation and execution of test scripts that can be used to exercise the applications, but there still is a lack of effective techniques and tools for the automatic generation of executable test cases. In this paper, we investigate the possibility of using Model Based Testing techniques to generate executable test scripts from Finite State Machines modeling the behaviour of the GUI of AR applications, similarly to other GUI based applications. We have applied several model coverage criteria to design test suites and we have shown the feasibility of this approach by testing two small example applications involving Unity3D and Vuforia technologies. © 2021 The Authors."
COMPENDEX,Journal article (JA),2022,Model-based testing leveraged for automated web tests,"Mattiello, Guilherme Ricken (1); Endo, André Takeshi (1)",Open source software - Software testing - Automation - Graphical user interfaces - Testing,29,"Agile methods and their practices have fostered the widespread presence of automated test cases. Such test cases have been successfully and extensively adopted to test different software levels, from unit tests (e.g., JUnit) to end-to-end Web Graphical User Interface (GUI) tests (e.g., Selenium Webdriver). While test execution is mostly automated by existing tools, test design remains a manual task. In the pursuit of a more automated test case generation approach, the use of models has been advocated by the model-based testing (MBT) technique. Current MBT approaches assume a top-down workflow in which testers design models, test cases are generated from models, and then scripts are written to automate test execution. Nevertheless, writing automated tests is nowadays a developer’s responsibility and testers face a scenario in which automated tests might be reused to produce new model-based tests. This paper aimed to improve the synergy between existing automated tests and MBT. To do so, we present an approach that infers a model from existing tests, a tester leverages this model to include new tests, and then test code is generated. We analyzed the proposed approach in the context of Web applications with system-level GUI tests that employ the Page Object pattern. For MBT, we adopted event-driven models augmented with parameters and test input data. We evaluated the approach’s applicability with a prototype tool called MoLeWe and an experimental study with nine open-source Web applications. The results provide some evidence that using MoLeWe may help to include new tests faster than manually coding them, while increasing the overall code coverage of the test suite. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
COMPENDEX,Conference article (CA),2020,TesCaV: An Approach for Learning Model-Based Testing and Coverage in Practice,"Marín, Beatriz (1); Alarcón, Sofía (1); Giachetti, Giovanni (2); Snoeck, Monique (3)",Model checking - Software testing - Well testing - Computer software selection and evaluation - Learning systems,16,"Academy and industry permanently remark the importance of software-testing techniques to improve software quality and to reduce development and maintenance costs. A testing method to be considered for this purpose is Model-Based Testing (MBT), which generates test cases from a model that represents the structure and the behavior of the system to be developed. The generated test suite is easier to maintain and adapt to changes in requirements or evolution of the developed system. However, teaching and learning MBT techniques are not easy tasks; students need to know the different testing techniques to assure that the requirements are fulfilled as well as to identify any failure in the software system modeled. In this work, we present TesCaV, an MBT teaching tool for university students, which is based on a model-driven technology for the automatic software generation from UML diagrams. TesCaV allows validating the test cases defined by students and graphically determines the level of testing coverage over the system modeled. Preliminary results show TesCaV as a promising approach for MBT teaching/learning processes. © 2020, Springer Nature Switzerland AG."
COMPENDEX,Conference article (CA),2021,Model-Based Testing of Smart Home Systems Using EFSM and CEFSM,"Albahli, Afnan (1); Andrews, Anneliese (1)",Automation - Black-box testing - Computer software selection and evaluation - Intelligent buildings - Model checking - Software reliability,6,The Internet of Things (IoT) is the future of communication. The number of devices connected to the Internet has been growing dramatically and is expected to continue to grow. This increase causes a huge challenge for software quality. New testing approaches need to be developed and investigated to assure quality and efficiency of such systems. The main challenge with IoT devices is that their functionality varies greatly depending on the device type and how it is connected. In order to maintain feasibility of these functionality systems need to be modeled. This paper proposes a testing approach for a smart home system (SHS) modeled by Extended Finite State Machines (EFSMs) and Communicating Extended Finite State Machines (CEFSMs). We generate tests for individual devices in the SHS as well as the interaction between devices. © 2021 IEEE.
COMPENDEX,Conference article (CA),2020,Lightweight MBT Testing for National e-Health Portal in Norway,"Gafurov, Davrondzhon (1); Grovan, Margrete Sunde (1); Hurum, Arne Erik (1)",Model checking - Quality assurance - Concretes,5,"We present lightweight model-based testing (MBT) of privacy and authorization concepts of national portal for electronic health services in Norway (which has over a million of visits per month). We have developed test models for creating and updating privacy levels and authorization categories using finite state machine. Our models emphasize not only positive but also negative behavioral aspects of the system. Using edge and edge-pair coverage as an acceptance criteria we identify and systematically derive abstract tests (high level user scenario) from models. Abstract tests are further refined and transformed into concrete tests with detailed steps and data. Although derivation of abstract tests and their transformation into concrete ones are manual, execution of concrete tests and generation of test report are automated. In total, we extracted 85 abstract test cases which resulted in 80 concrete test cases with over 550 iterations. Automated execution of all tests takes about 1 hour, while manual execution of one takes about 5 minutes (over 40 times speedup). MBT contributed to shift the focus of our intellectual work effort into model design rather than test case design, thus making derivation of test scenarios systematic and straight forward. In addition, applying MBT augmented and extended our traditional quality assurance techniques by facilitating better comprehension of new privacy and authorization concepts. Graphical models served as a useful aid in learning these concepts for newcomers. © 2020 ACM."
COMPENDEX,Conference article (CA),2020,Model-Based Testing of Read only Graph Queries,"Lambers, Leen (1); Schneider, Sven (1); Weisgut, Marcel (1)",Application programs - Model checking - Query languages - Software testing - Computer circuits,11,"Modern software applications often interface with graph-structured data managed by graph databases queried with specific graph query languages. Writing, understanding, and maintaining graph queries can be difficult and error-prone. Important decisions taken by the software application are in many cases based on the outcome of these graph queries. If test design does not account for the complexity incorporated in these queries, considerable parts of the business logic of such applications will not be tested appropriately.We aim at tackling the challenge of developing dedicated testing techniques for graph queries. In particular, we present a first model-based testing approach for read only queries supporting automated test creation, execution, and evaluation. We model queries using a well-established graph logic, being expressively equivalent to first-order logic on graphs. We develop a first coverage criterion requiring the presence of a test case returning an empty query result as well as the presence of a test case returning a non-empty result. We present the architecture of our model-based testing approach, which is supported by a first implementation. We illustrate our approach with complex read only graph queries from an industrial benchmark case study. © 2020 IEEE."
COMPENDEX,Journal article (JA),2022,Effect of MBT on landfill behavior: an Italian case study,"Amato, Alessia (1); Magi Galluzzi, Lorenzo (2); Beolchini, Francesca (1)",Ammonia - Biochemical engineering - Energy utilization - Leachate treatment - Stabilization,13,"Bad choices in municipal waste (MW) management cause negative effects on sustainability. Evolving regulation has identified prevention and recycling as the best strategies; nevertheless, disposal in landfilling sites plays an essential role since a complete zero-waste scenario is not realistic, currently. Nowadays, policies require a preliminary waste stabilization to decrease the putrescible content. Therefore, mechanical biological treatment (MBT) has replaced the previous crushing, aimed at simple volume reduction. Literature has proved the effectiveness of MBT when MW collection system is ineffective. The present paper considered a facility in an area with a high-performance MW collection system. A long-term (1999–2019) on-site sampling allowed the comparison between two sites of the facility: the old site (before the MBT activation) and the new area, where the stabilized waste is disposed of. Monitoring of biogas, leachate (analyzed parameters: pH, BOD5, COD, ammonia-nitrogen) and odorous emissions was performed to verify the effect of the stabilization process. The considered long period and the on-site sampling support the relevance of the results, compared to the available literature, often referred to as laboratory scale. The results proved the relatively low benefit of stabilization at the considered facility, which cannot justify the energy consumption of MBT. © 2022, The Author(s)."
COMPENDEX,Conference article (CA),2019,Reducing the discard of MBT test cases using distance functions,"Diniz, Thomaz (1); Silva, Anderson G.F. (1); Alves, Everton L.G. (1); Andrade, Wilkerson L. (1)",Software testing - Testing,10,"Model-Based Testing (MBT) is used for generating test suites from system models. However, as software evolves, its models tend to be updated, which often leads to obsolete test cases that are discarded. Test case discard can be very costly since essential data, such as execution history, are lost. In this paper, we investigate the use of distance functions to help to reduce the discard of MBT tests. For that, we ran a series of empirical studies using artifacts from industrial systems, and we analyzed how ten distance functions can classify the impact of MBT-centred use case edits. Our results showed that distance functions are effective for identifying low impact edits that lead to test cases that can be updated with little effort. Moreover, we found the optimal configuration for each distance function. Finally, we ran a case study that showed that, by using distance functions, we could reduce the discard of test cases by 15%. © 2019 Association for Computing Machinery."
COMPENDEX,Conference article (CA),2018,Model based testing of cyber-physical systems,"Khoo, Teck Ping (1)",Model checking - Interoperability - Embedded systems - Specifications,4,"Testing, inspection, and certification (TIC) are essential activities on consumer and industrial systems. The conformance to system specifications and standards can then provide assurances on system safety, security, reliability, and interoperability. TIC needs to evolve in tandem with growing system size and complexity. Common modern systems such as autonomous vehicles and smart health-care systems take the form of Cyber Physical Systems (CPSs). Model Based Testing (MBT) is one promising approach to test CPSs. An MBT framework for testing CPSs will be useful to systems testers and can raise the standard of systems testing as a whole. © Springer Nature Switzerland AG 2018."
COMPENDEX,Conference article (CA),2018,A study on the impact of model evolution in MBT suites,"Silva, Anderson G.F. (1); Andrade, Wilkerson L. (1); Alves, Everton L.G. (1)",Agile manufacturing systems - Model checking - Software design,8,"Software testing is known to be a key-factor for the success of a software development project. In this context, Model-Based Testing (MBT) plays an important role by providing an automated way for generating test cases from system models. However, although MBT can be helpful for creating sound test cases, its use can be very sensitive to model changes. Model edits often lead to a great number of obsolete test cases, as the software and its models evolve. This fact is even more evident in agile projects where requirement artifacts are very volatile. This paper presents an empirical study designed for investigating how model edits can impact MBT test suites. For that, we run a case study in the context of two industrial projects that apply agile methodologies combined with the use of MBT. We observed the evolution of specification models and their impact on generated MBT suites. Our results showed that 86% of the generated test cases were discarded due to model edits and their impact. However, a deeper analysis found that 52% of these tests were impacted only by syntactic model edits, which indicate they could be reused with little revision efforts. © 2018 Association for Computing Machinery."
COMPENDEX,Conference article (CA),2019,From requirements to automated acceptance tests of interactive apps: An integrated model-based testing approach,"Maciel, Daniel (1); Paiva, Ana C.R. (1); Da Silva, Alberto Rodrigues (2)",Software design - Specifications - Specification languages - Automation - Software testing - Model checking,8,"Frequently software testing tends to be neglected at the beginning of the projects, only performed on the late stage. However, it is possible to benefit from combining requirement with testing specification activities. On one hand, acceptance tests specification will require less manual effort since they are defined or generated automatically from the requirements specification. On the other hand, the requirements specification itself will end up having higher quality due to the use of a more structured language, reducing typical problems such as ambiguity, inconsistency and incorrectness. This research proposes an approach that promotes the practice of tests specification since the very beginning of projects, and its integration with the requirements specification itself. It is a model-driven approach that contributes to maintain the requirements and tests alignment, namely between requirements, test cases, and low-level automated test scripts. To show the applicability of the approach, two complementary languages are adopted: the ITLingo RSL that is particularly designed to support both requirements and tests specification; and the Robot language, which is a low-level keyword-based language for the specification of test scripts. The approach includes model-to-model transformation techniques, such as test cases into test scripts transformations. In addition, these test scripts are executed by the Robot test automation framework. Copyright © 2019 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved"
COMPENDEX,Conference article (CA),2018,Scrum and V lifecycle combined with model-based testing and model driven architecture to deal with evolutionary system issues,"Essebaa, Imane (1); Chantit, Salima (1)",Software testing - Architecture - Life cycle - Model checking - Software architecture - Agile manufacturing systems,15,"Model Driven Engineering (MDE) and Agile Methods (AM) are two principal domains that are in the way of improvement and evolution in order to facilitate the realisation of IT projects. However, these areas evolve separately despite the great number of researches that focus on improving realisation project’ techniques. Thus, our approach aims to provide an approach that combines two variants of MDE, Model Driven Architecture approach and Model-Based Testing with the V development lifecycle used in every scrum Agile Methodology sprint to deal with system evolution. In order to well illustrate this approach, we apply it on Rental Car Agency System realisation using Scrum methodology with some requirements’ evolution. © Springer Nature Switzerland AG 2018."
COMPENDEX,Journal article (JA),2018,Increasing test efficiency by risk-driven model-based testing,"Sahin Gebizli, Ceren (1); Kirkici, Abdulhadi (1); Sözer, Hasan (2)",Model checking - Testing - Smartphones - Software testing - Markov processes,10,"We introduce an approach and a tool, RIMA, for adapting test models used for model-based testing to augment information regarding failure risk. We represent test models in the form of Markov chains. These models comprise a set of states and a set of state transitions that are annotated with probability values. These values steer the test case generation process, which aims at covering the most probable paths. RIMA refines these models in 3 steps. First, it updates transition probabilities based on a collected usage profile. Second, it updates the resulting models based on fault likelihood at each state, which is estimated based on static code analysis. Third, it performs updates based on error likelihood at each state, which is estimated with dynamic analysis. The approach is evaluated with two industrial case studies for testing digital TVs and smart phones. Results show that the approach increases test efficiency by revealing more faults in less testing time. © 2018"
COMPENDEX,Conference article (CA),2020,Supporting efficient test automation using lightweight MBT,"Bernard, Elodie (1); Ambert, Fabrice (1); Legeard, Bruno (1)",Testing - Software design - Model checking - Software testing,11,"The Agile and DevOps transformation of software development practices enhances the need for increased automation of functional testing, especially for regression testing. This poses challenges both in the effort that needs to be devoted to the creation and maintenance of automated test scripts, and in their relevance (i.e. their alignment with business needs). Test automation is still difficult to implement and maintain and the return on investment comes late while projects tend to be short. In this context, we have experimented a lightweight model-based test automation approach to address both productivity and relevance challenges. It integrates test automation through a simple process and tool-chain experimented on large IT projects. © 2020 IEEE."
COMPENDEX,Conference article (CA),2018,SATE: Model-Based Testing with Design-to-Test and Plant Features,"Ma, Canlong (1); Jordan, Claudius (1); Provost, Julien (1)",Programmable logic controllers - Computer circuits - Controllers - Model checking - Programmed control systems,6,"In this paper we present SATE, a tool aiming at increasing test efficiency of model-based testing of DES using two approaches: design-to-test and plant features. First, the design-to-test approach automatically modifies the design while maintaining the original system behavior to overcome controllability, observability and SIC-testability issues. Secondly, testing with plant features reduces the number of test cases taking into account restrictions on the input space of programmable logic controllers caused by the plant that is to be controlled. © 2018"
COMPENDEX,Conference article (CA),2016,Model-based testing of mobile systems - An empirical study on QuizUp Android app,"Gudmundsson, Vignir (1); Lindvall, Mikael (2); Aceto, Luca (1); Bergthorsson, Johann (3); Ganesan, Dharmalingam (2)",Android (operating system) - Software testing,15,"We present an empirical study in which model-based testing (MBT) was applied to a mobile system: the Android client of QuizUp, the largest mobile trivia game in the world. The study shows that traditional MBT approaches based on extended finite-state machines can be used to test a mobile app in an effective and efficient way. Non-trivial defects were detected on a deployed system that has millions of users and was already well tested. The duration of the overall testing effort was of three months, including the construction of the models. Maintaining a single behavioral model for the app was key in order to test it in an efficient way. © Gudmundsson et al."
COMPENDEX,Conference article (CA),2016,Matts - A step towards model based testing,"Herpel, H.-J. (1); Willich, G. (1); Li, J. (1); Xie, J. (1); Johansen, B. (1); Kvinnesland, K. (2); Krueger, S. (1); Barrios, P. (3)",Model checking - Application programs - Concretes - Software testing - Testing,,"In this paper we describe a Model Based approach to testing of on-board software and compare it with traditional validation strategy currently applied to satellite software. The major problems that software engineering will face over at least the next two decades are increasing application complexity driven by the need for autonomy and serious application robustness. In other words, how do we actually get to declare success when trying to build applications one or two orders of magnitude more complex than today's applications. To solve the problems addressed above the software engineering process has to be improved at least for two aspects: 1) Software design and 2) Software testing. The software design process has to evolve towards model-based approaches with extensive use of code generators. Today, testing is an essential, but time and resource consuming activity in the software development process. Generating a short, but effective test suite usually requires a lot of manual work and expert knowledge. In a modelbased process, among other subtasks, test construction and test execution can also be partially automated. The basic idea behind the presented study was to start from a formal model (e.g. State Machines), generate abstract test cases which are then converted to concrete executable test cases (input and expected output pairs). The generated concrete test cases were applied to an on-board software. Results were collected and evaluated wrt. applicability, cost-efficiency, effectiveness at fault finding, and scalability."
COMPENDEX,Conference article (CA),2016,Model based testing of satellite on-board software - An industrial use case,"Herpel, H.J. (1); Kerep, M. (1); Li, J. (2); Xie, J. (2); Johansen, B. (2); Kvinnesland, K. (2); Krueger, S. (3); Barrios, P. (3)",Software testing - Concretes - Model checking - Application programs - Software design,,"In this paper we describe a Model Based approach to testing of on-board software and compare it with traditional validation strategy currently applied to satellite software. The major problems that software engineering will face over at least the next two decades are increasing application complexity driven by the need for autonomy and serious application robustness. In other words, how do we actually get to declare success when trying to build applications one or two orders of magnitude more complex than today's applications. To solve the problems addressed above the software engineering process has to be improved at least for two aspects: 1) Software design and 2) Software testing. The software design process has to evolve towards model-based approaches with extensive use of code generators. Today, testing is an essential, but time and resource consuming activity in the software development process. Generating a short, but effective test suite usually requires a lot of manual work and expert knowledge. In a model-based process, among other subtasks, test construction and test execution can also be partially automated. The basic idea behind the presented study was to start from a formal model (e.g. State Machines), generate abstract test cases which are then converted to concrete executable test cases (input and expected output pairs). The generated concrete test cases were applied to an on-board software. Results were collected and evaluated wrt. applicability, cost-efficiency, effectiveness at fault finding, and scalability. © 2016 IEEE."
COMPENDEX,Journal article (JA),2017,Quasi dimensional numerical investigation of syngas fuelled engine operation: MBT operation and parametric sensitivity analysis,"Shivapuji, Anand M. (1); Dasappa, S. (1)",Combustion - Engine cylinders - Alternative fuels - Sensitivity analysis - Quality control - Synthesis gas,18,"The formulation, validation and application of a thermodynamic quasi dimensional SI engine simulation model for syngas fuelled operation is reported. The QD approach establishes the dependence of turbulent combustion on mixture thermo-physical properties and fluid domain average turbulent parameters, eliminating the need for domain discretization (unlike in multi-dimensional models). Turbulent combustion is formulated along the Eddy Entrainment Laminar Burn-up concept (Williams-Klimov criterion) with non-linear dependence of mixture burn rate on local laminar flame speed and turbulent intensity. Simulations are reported for syngas fuelled operation of a six cylinder engine and compared with experimental pressure and heat release traces. Maximum brake torque stoichiometric operation pressure and heat release simulation traces evolve closely with corresponding experimental traces. The simulation peak pressure and IMEP deviations remain within 5% and 2% of experimental traces respectively while the position of peak pressure overlaps within ±0.5 deg. Parametric sensitivity analysis for load, mixture quality and ignition timing are also addressed. Overall, the simulation results are in accordance within 5% of experimental results as long as the parametric variations are within the regimes of tuning of empirical correlations. In general, the versatility and robustness of quasi dimensional approach to simulate non-regular bio-derived alternative fuels is established. © 2017 Elsevier Ltd"
