Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Keywords,Pages,Abstract
A Modulatory Elongated Model for Delineating Retinal Microvasculature in OCTA Images,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,,,,10.1007/978-3-031-43990-2_67,Mohsin ChalloobYongsheng GaoAndrew BuschWeichuan Zhang,2023,http://link.springer.com/chapter/10.1007/978-3-031-43990-2_67,Chapter,"Contextual information, Elongated responses, Modulatory influences, OCTA, Retinal vasculature, Vessel features",10,"Robust delineation of retinal microvasculature in optical coherence tomography angiography (OCTA) images remains a challenging task, particularly in handling the weak continuity of vessels, low visibility of capillaries, and significant noise interferences. This paper introduces a modulatory elongated model to overcome these difficulties by exploiting the facilitatory and inhibitory interactions exhibited by the contextual influences for neurons in the primary visual cortex. We construct the receptive field of the neurons by an elongated representation, which encodes the underlying profile of vasculature structures, elongated-like patterns, in an anisotropic neighborhood. An annular function is formed to capture the contextual influences presented in the surrounding region outside the neuron support and provide an automatic tuning of contextual information. The proposed modulatory method incorporates the elongated responses with the contextual influences to produce spatial coherent responses for delineating microvasculature features more distinctively from their background regions. Experimental evaluation on clinical retinal OCTA images shows the effectiveness of the proposed model in attaining a promising performance, outperforming the state-of-the-art vessel delineation methods."
Performance Evaluation of Global Trust Management in MANETs Routing Protocols,Computer Performance Engineering and Stochastic Modelling,,,,10.1007/978-3-031-43185-2_26,Hassan JariNigel Thomas,2023,http://link.springer.com/chapter/10.1007/978-3-031-43185-2_26,Chapter,"AODV, Direct trust, Global trust, Indirect trust, MANETs, NS-3, Routing protocol",10,"This paper presents a comprehensive trust management strategy for MANETs, concentrating on developing, assessing, and comparing global trust management mechanisms for the Ad-hoc On-demand Distance Vector (AODV) routing protocol. The research introduces a novel trust-based routing protocol called GTAODV, which builds upon the standard AODV protocol. GTAODV incorporates direct, indirect, and global trust mechanisms to evaluate the reliability of nodes when forwarding packets. This study aims to contribute to ongoing efforts in creating more secure, robust, and efficient ad-hoc networking solutions by focusing on the performance of MANET routing protocols when subjected to black hole attacks. Using Network Simulator 3 (NS-3), the performance of AODV and GTAODV is evaluated and compared. The experimental results demonstrate the effectiveness of the GTAODV protocol in countering black hole attacks, highlighting its potential to enhance the security and reliability of MANETs."
Verifying Open Data Portals Completeness in Compliance to a Grounding Framework,Electronic Government,,,,10.1007/978-3-031-41138-0_16,Flavia BernardiniCatherine Fortes Thedim CostaShaiana PereiraVictor Antunes VieiraDaniela TrevisanJosé Viterbo,2023,http://link.springer.com/chapter/10.1007/978-3-031-41138-0_16,Chapter,"Completeness Evaluation, Compliance Assessment, Open Data Reference Framework, Open Government Data",10,"Open Government Data Portals (OGDPs) are a way of keeping up the information about government’s actions, including how the collected taxes are used in favor of its citizens. However, one difficult in some of these portals is guaranteeing accountability on OGDP completeness according to different instruments specifying legal requirements and good practices, especially when they may reinforce some requirements or may be even contradictory. This problem leads to the need for a comprehensive methodology to assess completeness of OGDPs related to data and information availability. This work presents a process for constructing a reference guide, aiming to help analyzing completeness of an OGDP content, in compliance to legal requirements and good practices, presented by textual instruments. We conducted an experimental analysis for evaluating the completeness of Transparency OGDPs (TOGDPs) requirements using our process. We evaluated, as (T)OGDP experts, the constructed reference guide on three different TOGDPs. We also used the output guide to interview managers and users of the Niterói TOGDP, in order to both evaluate the quality of the guide and the Niterói TOGDP completeness. We could observe which items of our guide were well understood and which need to be improved. These results are of interest to the OGD research community as they provide a tool for constructing a reference guide that facilitates the systematic assessment of OGDPs completeness, in compliance to a given legal framework. Future research includes testing our approach on different contexts for various OGDP types and exploring automation possibilities."
"Relating Reversible Petri Nets and Reversible Event Structures, Categorically","Formal Techniques for Distributed Objects, Components, and Systems",,,,10.1007/978-3-031-35355-0_13,Hernán MelgrattiClaudio Antares MezzinaG. Michele Pinna,2023,http://link.springer.com/chapter/10.1007/978-3-031-35355-0_13,Chapter,,10,"Causal nets (CNs) are Petri nets where causal dependencies are modelled via inhibitor arcs. They play the role of occurrence nets when representing the behaviour of a concurrent and distributed system, even when reversibility is considered. In this paper we extend CNs to account also for asymmetric conflicts and study (i) how this kind of nets, and their reversible versions, can be turned into a category; and (ii) their relation with the categories of reversible asymmetric event structures."
Research on Feature Picking of Domestic Waste Sorting Based on Neural Network Training,"Application of Big Data, Blockchain, and Internet of Things for Education Informatization",,,,10.1007/978-3-031-23944-1_52,Yufei HuangZhengjie LuJixin SunBo WangShude Liao,2023,http://link.springer.com/chapter/10.1007/978-3-031-23944-1_52,Chapter,"Domestic waste, GUI, MATLAB, Neural network",10,"Through the analysis of the status quo of domestic waste treatment, three common and recyclable domestic wastes of plastic bottles, cardboard and cans are selected as the classification samples to study the classification of the overall domestic waste. Based on MATLAB, a nerve that can be used for domestic waste sorting is designed. The network model realizes the effective classification of the domestic garbage images after real-time acquisition of the images by the camera, and borrows the MATLAB GUI toolbox to design a GUI that is easy to operate and has strong practicability. The research provides an implementation method for the effective sorting and treatment of domestic waste."
Spanning Trees with Few Branch Vertices in Graphs of Bounded Neighborhood Diversity,Structural Information and Communication Complexity,,,,10.1007/978-3-031-32733-9_22,Luisa GarganoAdele A. Rescigno,2023,http://link.springer.com/chapter/10.1007/978-3-031-32733-9_22,Chapter,"Fixed parameterized algorithms, Neighborhood diversity, Spanning tree",10,"A branch vertex in a tree is a vertex of degree at least three. We study the NP -hard problem of constructing spanning trees with as few branch vertices as possible. This problem generalizes the famous Hamiltonian Path problem which corresponds to the case of no vertices having degree three or more. It has been extensively studied in the literature and has important applications in network design and optimization. In this paper, we study the problem of finding a spanning tree with the minimum number of branch vertices in graphs of bounded neighborhood diversity. Neighborhood diversity, a generalization of vertex cover to dense graphs, plays an important role in the design of algorithms for such graphs."
Minimal Generating Sets for Semiflows,"Formal Techniques for Distributed Objects, Components, and Systems",,,,10.1007/978-3-031-35355-0_12,Gerard Memmi,2023,http://link.springer.com/chapter/10.1007/978-3-031-35355-0_12,Chapter,"Formal verification, generating set, invariant, linear algebra, Petri Nets, semiflow",10,"We discuss important characteristics of finite generating sets for $$\mathcal {F^{+}}$$ F + , the set of all semiflows with non-negative coordinates of a Petri Net. We endeavor to regroup a number of algebraic results dispersed throughout the Petri Nets literature and also to better position the results while considering semirings such as $$\mathbb {N}$$ N or $$\mathbb {Q^+}$$ Q + then fields such as $$\mathbb {Q}$$ Q . As accurately as possible, we provide a range of new algebraic results on minimal semiflows, minimal supports, and finite minimal generating sets for a given family of semiflows. Minimality of semiflows and of support are critical to develop effective analysis of invariants and behavioral properties of Petri Nets. Main results are concisely presented in a table and our contribution is highlighted. We conclude with the analysis of an example drawn from the telecommunication industry underlining the efficiency brought by using minimal semiflows of minimal supports."
Model-Based Testing of Internet of Things Protocols,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-031-15008-1_12,Xavier Manuel van DommelenMachiel van der BijlAndy Pimentel,2022,http://link.springer.com/chapter/10.1007/978-3-031-15008-1_12,Chapter,"Bluetooth Low Energy, Communication Protocol, Embedded Systems, Internet of Things, Model-Based Testing",10,"Internet of Things (IoT) is a popular term to describe systems/devices that connect and interact with each other through a network, e.g., the Internet. These devices communicate with each other via a communication protocol, such as Zigbee or Bluetooth Low Energy (BLE), the subject of this paper. Communication protocols are notoriously hard to implement correctly and a large set of test-cases is needed to check for conformance to the standard. Many of us have encountered communication problems in practice, such as random mobile phone disconnects, difficulty obtaining a Bluetooth connection, etc. In this paper, we research the application of industry strength Model-Based Testing (MBT) within the IoT domain. This technique contributes to higher quality specifications and more efficient and more thorough conformance testing. We show how we can model part of the BLE protocol specification using the Axini Modeling Platform (AMP). Based on the model, AMP is then able to automatically test the conformance of a BLE device. With this approach, we found specification flaws in the official BLE specifications as well as conformance errors on a certified BLE system."
Investigating The Effectiveness of Model-Based Testing on Testing Skill Acquisition,The Practice of Enterprise Modeling,,,,10.1007/978-3-031-21488-2_1,Felix CammaertsCharlotte VerbruggenMonique Snoeck,2022,http://link.springer.com/chapter/10.1007/978-3-031-21488-2_1,Chapter,"Model-based testing, TesCaV, Testing skill acquisition",10,"Software does not only need to be developed but also needs to get tested. Testing of software reduces the development and maintenance costs and increases software quality. Unfortunately, few software development courses focus on good testing practices. Some prior work has nevertheless researched possible ways of teaching software testing techniques to students. Unfortunately, all these approaches are code-oriented approaches, implying that a strong technical background is needed to effectively use them. They are also mostly focused on improving students’ knowledge on basic testing techniques. In contrast, TesCaV, a software tool used for teaching testing skills to university students, focuses on teaching testing to novice users with limited technical skills by providing a model-based testing (MBT) approach. MBT is a black-box testing technique in which the tests are automatically generated from a software model. This automatic generation allows for easy maintenance of the test suite when the software changes. These tests can be automatically generated by using a.o. Finite State Machines (FSMs), Markov Chains and Logic Programming. TesCaV is mainly based on Finite State Machines. The effect of using TesCaV on testing coverage is quantitatively analysed in this research. The preliminary results of TesCaV show that it is a promising tool for the teaching of MBT."
libfsmtest An Open Source Library for FSM-Based Testing,Testing Software and Systems,,,,10.1007/978-3-031-04673-5_1,Moritz BergenthalNiklas KrafczykJan PeleskaRobert Sachtleben,2022,http://link.springer.com/chapter/10.1007/978-3-031-04673-5_1,Chapter,,10,"In this paper, the open source library libfsmtest is presented. It has been developed to support model-based testing with finite state machine (FSM) models. The library is provided as a collection of $$\mathtt{C}^{++}$$ C + + classes, each class supporting specific aspects of FSM creation and transformation, and test generation from FSM models. Additionally, the library provides main programs for test generation with the methods realised in the library and for testing ‘implementation FSMs’ with suites generated from ‘reference FSMs’. Moreover, a generic test harness is provided for running test suites against $$\mathtt{C}^{++}$$ C + + libraries. We explain the unique selling points of this library and compare it to competing approaches."
Towards Substructural Property-Based Testing,Logic-Based Program Synthesis and Transformation,,,,10.1007/978-3-030-98869-2_6,Marco MantovaniAlberto Momigliano,2022,http://link.springer.com/chapter/10.1007/978-3-030-98869-2_6,Chapter,"Focusing, Linear logic, Property-based testing, Semantics of programming languages",10,We propose to extend property-based testing to substructural logics to overcome the current lack of reasoning tools in the field. We take the first step by implementing a property-based testing system for specifications written in the linear logic programming language Lolli. We employ the foundational proof certificates architecture to model various data generation strategies. We validate our approach by encoding a model of a simple imperative programming language and its compilation and by testing its meta-theory via mutation analysis.
Towards Causal Model-Based Engineering in Automotive System Safety,Model-Based Safety and Assessment,,,,10.1007/978-3-031-15842-1_9,Robert MaierLisa GrabingerDavid UrlhartJürgen Mottok,2022,http://link.springer.com/chapter/10.1007/978-3-031-15842-1_9,Chapter,"Causality, Model-based engineering, Probabilistic reasoning, Scenario identification, SOTIF",10,"Engineering is based on the understanding of causes and effects. Thus, causality should also guide the safety assessment of complex systems such as autonomous driving cars. To ensure the safety of the intended functionality of these systems, normative regulations like ISO 21448 recommend scenario-based testing. An important task here is to identify critical scenarios, so-called edge and corner cases. Data-driven approaches to this task (e.g. based on machine learning) cannot adequately address a constantly changing operational design domain. Model-based approaches offer a remedy – they allow including different sources of knowledge (e.g. data, human experts) into safety considerations. With this paper, we outline a novel approach for ensuring automotive system safety. We propose to use structural causal models as a probabilistic modelling language to combine knowledge about an open-context environment from different sources. Based on these models, we investigate parameter configurations that are candidates for critical scenarios. In this paper, we first discuss some aspects of scenario-based testing. We then provide an informal introduction to causal models and relate their development lifecycle to the established V-model. Finally, we outline a generic workflow for using causal models to identify critical scenarios and highlight some challenges that arise in the process."
Locality-Based Test Selection for Autonomous Agents,Testing Software and Systems,,,,10.1007/978-3-031-04673-5_6,Sina EntekhabiWojciech MostowskiMohammad Reza MousaviThomas Arts,2022,http://link.springer.com/chapter/10.1007/978-3-031-04673-5_6,Chapter,"Autonomous agents, Domain specific languages, Model-based testing, Scenario-based testing, Test input generation, Test selection",10,"Automated random testing is useful in finding faulty corner cases that are difficult to find by using manually-defined fixed test suites. However, random test inputs can be inefficient in finding faults, particularly in systems where test execution is time- and resource-consuming. Hence, filtering out less-effective test cases by applying domain knowledge constraints can contribute to test effectiveness and efficiency. In this paper, we provide a domain specific language (DSL) for formalising locality-based test selection constraints for autonomous agents. We use this DSL for filtering randomly generated test inputs. To evaluate our approach, we use a simple case study of autonomous agents and evaluate our approach using the QuickCheck tool. The results of our experiments show that using domain knowledge and applying test selection filters significantly reduce the required number of potentially expensive test executions to discover still existing faults. We have also identified the need for applying filters earlier during the test data generation. This observation shows the need to make a more formal connection between the data generation and the DSL-based filtering, which will be addressed in future work."
Temporal Multi-view Contracts for Efficient Test Models,Digital Business and Intelligent Systems,,,,10.1007/978-3-031-09850-5_10,Jishu GuinJüri VainLeonidas TsiopoulosGert Valdek,2022,http://link.springer.com/chapter/10.1007/978-3-031-09850-5_10,Chapter,"Contract-based design, Model-based testing, Model-checking",10,"In this work we focus on practical aspects of test automation, namely reducing the model creation effort for model-based testing by exploiting the multi-view contract paradigm. We take into account explicitly the design views of the system and develop dedicated system test models by views in an incremental manner. The test models formalized as Uppaal Timed Automata refine the requirements of the views and are verified against the view contracts specified in Timed Computation Tree logic. As a novel theoretical contribution we extend the notion of assume/guarantee contracts by introducing temporal modalities. As a second contribution, we demonstrate the feasibility of the approach on an industrial climate control system testing case study. The improvement of testing process productivity is compared to that of developing a monolithic model empirically without extracting views. Finally, we discuss the usability aspects of the method in test development and outline the challenges."
Is NLP-based Test Automation Cheaper Than Programmable and Capture &Replay?,Quality of Information and Communications Technology,,,,10.1007/978-3-031-14179-9_6,Maurizio LeottaFilippo RiccaSimone StoppaAlessandro Marchetto,2022,http://link.springer.com/chapter/10.1007/978-3-031-14179-9_6,Chapter,"Artificial intelligence, NLP, Test automation, Web testing",10,"Nowadays, there is a growing interest in the use of Natural-Language Processing (NLP) for supporting software test automation. This paper investigates the adoption of NLP in web testing. To this aim, a case study has been conducted to compare the cost of the adoption of a NLP testing approach, with respect to more consolidated approaches, i.e., programmable testing and capture and replay testing, in two testing tasks: test cases development and test case evolution/maintenance. Even if preliminary, results show that NLP testing is quite competitive with respect to the more consolidated approaches since the cumulative testing effort of a NLP testing approach, computed considering both development and evolution efforts, is almost always lower than the one of programmable testing and capture &replay testing."
Testing Against Non-deterministic FSMs: A Probabilistic Approach for Test Suite Minimization,Testing Software and Systems,,,,10.1007/978-3-031-04673-5_4,Natalia KushikNina YevtushenkoJorge López,2022,http://link.springer.com/chapter/10.1007/978-3-031-04673-5_4,Chapter,"Guaranteed fault coverage, Model based testing, Non-deterministic finite state machines, Probabilistic approach",10,"The paper is devoted to model based testing against non-deterministic specifications. Such test derivation strategies are well developed, for example against non-deterministic Finite State Machines, however the length of the corresponding test suite can be exponential w.r.t. the number of specification states. We therefore discuss how a test suite can be minimized or reduced when certain level of guarantee concerning its fault coverage is still preserved. The main idea behind the approach is to augment the specification by assigning probabilities for the non-deterministic transitions and later on evaluate the probability of each test sequence to detect the relevant faulty implementation. Given a probability P which is user-defined, we propose an approach for minimizing a given exhaustive test suite TS such that, it stays exhaustive with the probability no less than P ."
Learning Deterministic One-Clock Timed Automata via Mutation Testing,Automated Technology for Verification and Analysis,,,,10.1007/978-3-031-19992-9_15,Xiaochen TangWei ShenMiaomiao ZhangJie AnBohua ZhanNaijun Zhan,2022,http://link.springer.com/chapter/10.1007/978-3-031-19992-9_15,Chapter,"Active learning, Model-based mutation testing, Timed automata",10,"In active learning, an equivalence oracle is supposed to answer whether a hypothesis model is equivalent to the system under learning. Its implementation in real applications is considered a major bottleneck for active automata learning. The problem is especially difficult in the context of learning timed automata due to the infinitely large state space involved. In this paper, following the framework of combining mutation analysis and random testing, we propose an implementation of equivalence oracle in the context of learning deterministic one-clock timed automata (DOTAs). This includes two learning-friendly mutation operators, a heuristic test-case generation method, and a score-based test-case selection method. We implemented a prototype applying our approach by extending an existing tool on active learning of DOTAs and conducted extensive experiments. The results indicate that our method improves upon existing methods on the rate of learning correct models, the number of test cases required, and accumulated delay time in test cases."
Towards Continuous Quality Control in the Context of Language-Driven Engineering,"Leveraging Applications of Formal Methods, Verification and Validation. Software Engineering",,,,10.1007/978-3-031-19756-7_22,Alexander BainczykSteve BoßelmannMarvin KrauseMarco KrumreyDominic WirknerBernhard Steffen,2022,http://link.springer.com/chapter/10.1007/978-3-031-19756-7_22,Chapter,"Active automata learning, Continuous quality control, Domain-specific languages, Generation, Language-driven engineering, Migration, Model/learning-based testing",10,"In this paper, we illustrate the role of quality assurance in Language-Driven Engineering (LDE) which exploits the observation that the more specific a programming/modeling language is, the better it can be controlled . In fact, well-tailored domain-specific languages (DSLs) allow one to (1) syntactically express a number of semantic properties with the effect that they can be verified during syntax analysis or using more involved static verification techniques like model checking, and (2), combined with a concept of design for testability, to automatically validate run-time properties using, in our case, learning-based testing technology. To ensure practicality and scalability, the LDE approach must be supported by language definition technology, powerful enough to ensure that corresponding Integrated Modeling Environments (IMEs) can be generated on demand. Our LDE ecosystem provides such means in a fashion where the dependencies between the various modeling environments and their corresponding meta-modeling environments are systematically addressed in a path-up/tree-down fashion: application-level requests are stepwise moved up to the meta hierarchy, far enough to fully address the issue at hand. The resulting meta-level changes are then propagated down the meta hierarchy to ensure the adequate migration of all involved IMEs and their corresponding modeled artifacts."
A Survey-driven Feature Model for Software Traceability Approaches,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-99429-7_2,Edouard Romari BatotSebastien GérardJordi Cabot,2022,http://link.springer.com/chapter/10.1007/978-3-030-99429-7_2,Chapter,,10,"Traceability is the capability to represent, understand and analyze the relationships between software artefacts. Traceability is at the core of many software engineering activities. This is a blessing in disguise as traceability research is scattered among various research subfields, which impairs a global view and integration of the different innovations around the recording, identification, evaluation and management of traces. This also limits the adoption of traceability solutions in industry. In this sense, the goal of this paper is to present a characterization of the traceability mechanism as a feature model depicting the shared and variable elements in any traceability proposal. The features in the model are derived from a survey of papers related to traceability published in the literature. We believe this feature model is useful to assess and compare different proposals and provide a common terminology and background. Beyond the feature model, the survey we conducted also help us to identify a number of challenges to be solved in order to move traceability forward, especially in a context where, due to the increasing importance of AI techniques in Software Engineering, traces are more important than ever in order to be able to reproduce and explain AI decisions."
Modeling and Model Transformation as a Service: Towards an Agile Approach to Model-Driven Development,Lean and Agile Software Development,,,,10.1007/978-3-030-94238-0_7,Adel VahdatiRaman Ramsin,2022,http://link.springer.com/chapter/10.1007/978-3-030-94238-0_7,Chapter,"Agile methods, Model-Driven Development, Service-oriented architecture",10,"Scalability has always been a challenge in software development, and agile methods have faced their own ordeal in this regard. The classic solution is to use modeling to manage the complexities of the system while facilitating intra-team and inter-team communication; however, agile methods tend to shy away from modeling to avoid its adverse effect on productivity. Model-driven development (MDD) has shown great potential for automatic code generation, thereby enhancing productivity, but the agile community seems unconvinced that this gain in productivity justifies the extra effort required for modeling. The challenge that the MDD community faces today is to incorporate MDD in agile development methodologies in such a way that agility is tangibly and convincingly preserved. In this paper, we address this challenge by using a service-oriented approach to modeling and model transformation that pays special attention to abiding by agile values and principles."
