Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,Keywords,Pages
Gupta R.K.,"Gupta, Ravi Kumar (57194222989)",57194222989,Challenges in communicating about defence research: Insight into defence research and development organisation's media strategy,2017,Bridging the Communication Gap in Science and Technology: Lessons from India,,,,49,62,13.0,0,10.1007/978-981-10-1025-5_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019301701&doi=10.1007%2f978-981-10-1025-5_4&partnerID=40&md5=6678132f4b683791f04ee5c05027ca80,"Communicating nuances of defence science and technology to common man is not easy; communicating these and the challenges associated with the development of defence technologies to media was indeed a delicate and uphill task. In spite of numerous achievements and accomplishments that had been realised in the face of numerous stonewalling challenges, Defence Research and Development Organisation (DRDO) had to pass through a difficult phase marked by adverse publicity drawing flak from all quarters for a considerable period of time, damaging its reputation and denying its rightful place in the minds of masses and stakeholders. Insufficient and ineffective communication mainly due to absence of a single window agency with authorisation to interact with media was identified as the major cause for a widening perception gap resulting in the rapidly worsening situation. How creation of the Directorate of Public Interface, as the single window for interacting with media as well as public in general, and implementation of other well-planned communication strategies aimed at bridging perception gaps, particularly with media, helped in transforming DRDO's image to evolve into a major contributor to the nation building and a potential driver for national economy, attracting the country's best talent, is discussed along with a brief background of DRDO's evolution.",Defence research; DRDO; Electronic warfare; Guided missiles; MBT arjun; Media intervention; Public interaction,,Book chapter,Final,,Scopus,2-s2.0-85019301701,"Defence research, DRDO, Electronic warfare, Guided missiles, MBT arjun, Media intervention, Public interaction",14.0
Khan M.U.; Iqbal M.Z.; Ali S.,"Khan, Muhammad Uzair (55602694800); Iqbal, Muhamamd Zohaib (57222997737); Ali, Shaukat (56962801700)",55602694800; 57222997737; 56962801700,A heuristic-based approach to refactor crosscutting behaviors in UML state machines,2014,"Proceedings - 30th International Conference on Software Maintenance and Evolution, ICSME 2014",,,6976138,557,560,3.0,7,10.1109/ICSME.2014.94,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931080483&doi=10.1109%2fICSME.2014.94&partnerID=40&md5=06e928d1a35649d4410dd9bd46ffc950,"UML state machines are commonly used to model the state-based behavior of communication and control systems to support various activities such as test cases and code generation. Standard UML state machines are well suited to model functional behavior, however extra-functional behavior such as robustness and security can also be directly modeled on them, but this often results in cluttered models since extra-functional behaviors are often crosscutting. Such modeling crosscutting behavior directly on UML state machines is a common practice. Aspect-Oriented Modeling (AOM) allows systematically modeling of crosscutting behavior and has shown to provide a scalable solution in the recent years. However, due to lack of familiarity of AOM in both academic and industry, extra-functional behavior is often modeled directly on UML state machines and as a result those UML state machines are difficult to read and maintain. To improve the readability of already developed UML state machines and ease maintenance, we propose a set of heuristics, derived from two industrial cases studies, implemented in a tool to automatically identify commonly observed crosscutting behaviors in UML state machines and refactor them as Aspect State Machines. Such refactoring makes the state machines easier to maintain and comprehend. We present the results of applying our proposed heuristics to the existing UML state machines of two industrial case studies developed for model-based testing.",Aspect-Oriented Modeling; Heuristics; Model Refactoring; UML State machine,Aspect oriented modeling; Communication and control; Crosscutting behaviors; Functional behaviors; Heuristics; Industrial case study; Refactorings; UML state machine; Model checking,Conference paper,Final,,Scopus,2-s2.0-84931080483,"Aspect-Oriented Modeling, Heuristics, Model Refactoring, UML State machine",4.0
Zhao J.; Su M.; Zhao Q.; Liu J.; Wang J.; Wang J.; An X.,"Zhao, Jiayuan (57907020300); Su, Majing (57990193100); Zhao, Qian (57990225300); Liu, Jiajie (57990210000); Wang, Junbin (57990243200); Wang, Junjie (57215142777); An, Xiaoli (57197708076)",57907020300; 57990193100; 57990225300; 57990210000; 57990243200; 57215142777; 57197708076,3D Finite Element Study of the Physiological Anchorage Control Concept on Anchorage Molars in Lingual Orthodontics,2022,Journal of Healthcare Engineering,2022,,1421586,,,,0,10.1155/2022/1421586,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143186062&doi=10.1155%2f2022%2f1421586&partnerID=40&md5=8a1c5cfa689b69d63eaa759daac824ae,"Objective. To study the effect of the physiological anchorage control concept on anchorage molars in lingual and labial orthodontic techniques. Methods. Three-dimensional finite element models, including the right maxillary first molar, periodontal ligament, alveolar bone, and buccal tube, were established. The models were divided into the McLaughlin-Bennett-Trevisi (MBT™) straight-wire model with 0-degree maxillary first molar axial inclination and the physiologic anchorage Speewire system (PASS) model with -7-degree maxillary first molar axial inclination. Simulated sliding retraction forces (1 N, 1.5 N, and 2 N) were loaded on the buccal side and lingual side, and retraction forces (0.5 N, 0.75 N, and 1 N) were loaded on the buccal and lingual sides simultaneously. The displacements, principal stresses, and von Mises stresses of the periodontal ligament under different conditions were derived. Results. The anchorage molars showed different degrees of rotation, tipping, intrusion, and extrusion. As the force increased, these displacement trends also increased. The mesial displacement of the buccal + lingual force loading was less than that of the other two groups. Under the same force load method, the mesial displacement of the PASS group was less than that of the MBT group. Tilt movement increases the tensile stress of the distal cervical margin and root mesial apical third and the compressive stress of the mesial cervical margin and root distal apical third. The maximum stress of the periodontal ligament was less than that of the other two groups when the lingual force was loaded. Conclusion. The physiological anchorage control concept in lingual orthodontics provides better sagittal anchorage control than in labial orthodontics, but there is no significant difference numerically. Attention should be given to the control of torsion, torque, and arch width. Tilt movement increases the PDL stress of the cervical margin and root apical third. The sliding retraction force should be loaded lingually to maintain the force value of 1∼1.5 N. © 2022 Jiayuan Zhao et al.",,Finite Element Analysis; Humans; Molar; Movement; Periodontal Ligament; Tongue; Anchorages (foundations); Finite element method; Physiology; Tensile strength; Tensile stress; 3-D finite elements; Alveolar bones; Condition; Control concept; Finite-element study; Periodontal ligament; Principal stress; System models; Three dimensional finite element model; VonMises stress; alveolar bone; Article; cone beam computed tomography; controlled study; degree of freedom; human; lingual orthodontics; lip; male; maxillary first molar; normal human; orthodontic anchorage; orthodontics; periodontal ligament; three dimensional finite element analysis; tongue; volunteer; work environment; finite element analysis; molar tooth; movement (physiology); tongue; Compressive stress,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85143186062,,
Leiden K.; Fernandes A.; Atkins S.,"Leiden, Kenneth (23095100800); Fernandes, Alicia (57199406806); Atkins, Stephen (7005926007)",23095100800; 57199406806; 7005926007,Managing aircraft by trajectory: Literature review and lessons learned,2018,"ICNS 2018 - Integrated Communications, Navigation, Surveillance Conference",,,,"3,00E+11","3,00E+116",2805.0,0,10.1109/ICNSURV.2018.8384864,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049933194&doi=10.1109%2fICNSURV.2018.8384864&partnerID=40&md5=04aff92485b94be3e224eac38bdffd77,"In order to realize the full potential of the Next Generation Air Transportation System (NextGen), improved management along planned trajectories between air navigation service providers (ANSPs) and system users (e.g., pilots and airline dispatchers) is needed. Automation improvements and increased data communications between aircraft and ground automation would make the concept of Management by Trajectory (MBT) possible. Key components of the MBT concept include: • The ability for air traffic controllers and managers to quickly generate, evaluate and implement changes to an aircraft's trajectory. • Imposing constraints on flight operator-preferred trajectories only to the extent necessary to maintain safe and efficient traffic flows. • A method for the exchange of trajectory information between ground automation systems and the aircraft that allows for trajectory synchronization and trajectory negotiation. MBT addresses shortfalls that remain in the Trajectory Based Operations (TBO) solution set, despite years of research into various aspects of transitioning from the current airspace environment to TBO. This paper provides findings and insights from a literature survey of TBO-related concepts and technologies. These insights can be applied to improve the feasibility and ultimate adoption of MBT.",,Air traffic control; Air transportation; Automation; Fighter aircraft; Navigation; Trajectories; Air navigation service providers; Air traffic controller; Airline dispatchers; Airspace environment; Automation systems; Next-generation air transportation systems; Trajectory information; Trajectory negotiation; Air navigation,Conference paper,Final,,Scopus,2-s2.0-85049933194,N/A,9.0
Marín B.; Alarcón S.; Giachetti G.; Snoeck M.,"Marín, Beatriz (24481674800); Alarcón, Sofía (57211589369); Giachetti, Giovanni (24481355300); Snoeck, Monique (55968864600)",24481674800; 57211589369; 24481355300; 55968864600,TesCaV: An Approach for Learning Model-Based Testing and Coverage in Practice,2020,Lecture Notes in Business Information Processing,385 LNBIP,,,302,317,15.0,6,10.1007/978-3-030-50316-1_18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087778009&doi=10.1007%2f978-3-030-50316-1_18&partnerID=40&md5=e71680e8d7cb246dde68133aa7393585,"Academy and industry permanently remark the importance of software-testing techniques to improve software quality and to reduce development and maintenance costs. A testing method to be considered for this purpose is Model-Based Testing (MBT), which generates test cases from a model that represents the structure and the behavior of the system to be developed. The generated test suite is easier to maintain and adapt to changes in requirements or evolution of the developed system. However, teaching and learning MBT techniques are not easy tasks; students need to know the different testing techniques to assure that the requirements are fulfilled as well as to identify any failure in the software system modeled. In this work, we present TesCaV, an MBT teaching tool for university students, which is based on a model-driven technology for the automatic software generation from UML diagrams. TesCaV allows validating the test cases defined by students and graphically determines the level of testing coverage over the system modeled. Preliminary results show TesCaV as a promising approach for MBT teaching/learning processes.",Coverage; Lessons learned; Model-Based Testing; Teaching/learning testing,Computer software selection and evaluation; Model checking; Software quality; Software testing; Students; Well testing; Maintenance cost; Model based testing; Software generation; Software testing techniques; Teaching and learning; Teaching/learning; Testing technique; University students; Learning systems,Conference paper,Final,,Scopus,2-s2.0-85087778009,"Coverage, Lessons learned, Model-Based Testing, Teaching/learning testing",16.0
Zhang M.; Ali S.; Yue T.; Norgre R.,"Zhang, Man (56990520700); Ali, Shaukat (56962801700); Yue, Tao (25651096400); Norgre, Roland (57190125873)",56990520700; 56962801700; 25651096400; 57190125873,Uncertainty-wise evolution of test ready models,2017,Information and Software Technology,87,,,140,159,19.0,13,10.1016/j.infsof.2017.03.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015382293&doi=10.1016%2fj.infsof.2017.03.003&partnerID=40&md5=da4f5fea4e0a1061764ef0930d0457ba,"Context Cyber-Physical Systems (CPSs), when deployed for operation, are inherently prone to uncertainty. Considering their applications in critical domains (e.g., healthcare), it is important that such CPSs are tested sufficiently, with the explicit consideration of uncertainty. Model-based testing (MBT) involves creating test ready models capturing the expected behavior of a CPS and its operating environment. These test ready models are then used for generating executable test cases. It is, therefore, necessary to develop methods that can continuously evolve, based on real operational data collected during the operation of CPSs, test ready models and uncertainty captured in them, all together termed as Belief Test Ready Models (BMs) Objective Our objective is to propose a model evolution framework that can interactively improve the quality of BMs, based on operational data. Such BMs are developed by one or more test modelers (belief agents) with their assumptions about the expected behavior of a CPS, its expected physical environment, and potential future deployments. Thus, these models explicitly contain subjective uncertainty of the test modelers. Method We propose a framework (named as UncerTolve) for interactively evolving BMs (specified with extended UML notations) of CPSs with subjective uncertainty developed by test modelers. The key inputs of UncerTolve include initial BMs of CPSs with known subjective uncertainty and real data collected from the operation of CPSs. UncerTolve has three key features: 1) Validating the syntactic correctness and conformance of BMs against real operational data via model execution, 2) Evolving objective uncertainty measurements of BMs via model execution, and 3) Evolving state invariants (modeling test oracles) and guards of transitions (modeling constraints for test data generation) of BMs with a machine learning technique. Results As a proof-of-concept, we evaluated UncerTolve with one industrial CPS case study, i.e., GeoSports from the healthcare domain. Using UncerTolve, we managed to evolve 51% of belief elements, 18% of states, and 21% of transitions as compared to the initial BM developed in an industrial setting. Conclusion UncerTolve can successfully evolve model elements of the initial BM, in addition to objective uncertainty measurements using real operational data. The evolved model can be used to generate additional test cases covering evolved model elements and objective uncertainty. These additional test cases can be used to test the current and future deployments of a CPS to ensure that it will handle uncertainty gracefully during its operations.",Belief model; Belief test ready model; Model evolution; Model-based testing; Uncertainty,Embedded systems; Health care; Learning systems; Model checking; Software testing; Uncertain systems; Cyber physical systems (CPSs); Machine learning techniques; Model based testing; Model evolution; Operating environment; Subjective uncertainty; Uncertainty; Uncertainty measurements; Uncertainty analysis,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85015382293,"Belief model, Belief test ready model, Model evolution, Model-based testing, Uncertainty",20.0
Leal L.; Montecchi L.; Ceccarelli A.; Martins E.,"Leal, Lucas (57211116981); Montecchi, Leonardo (25654395000); Ceccarelli, Andrea (18041935700); Martins, Eliane (7103315128)",57211116981; 25654395000; 18041935700; 7103315128,Exploiting MDE for platform-independent testing of service orchestrations,2019,"Proceedings - 2019 15th European Dependable Computing Conference, EDCC 2019",,,8893329,149,152,3.0,1,10.1109/EDCC.2019.00037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075631947&doi=10.1109%2fEDCC.2019.00037&partnerID=40&md5=86585563427ad4e01f2b36ac472dcccf,"Service Oriented Architecture (SOA) is a common design pattern that allows building applications composed of several services. It promotes features as interoperability, scalability, and software reuse. Services composing a SOA system may evolve and change during runtime, often outside the control of the owner of the application, which makes the verification and validation processes complex. Among all the automated techniques to validate the behavior of an SOA application, is Model-Based Testing (MBT). MBT requires an accurate model of the application in order to generate suitable test cases. However, the intrinsic of a SOA application sets significant challenges to MBT effectiveness. In this paper we discuss the challenges in the testing of SOA applications, and we propose the use of Model-Driven Engineering (MDE) to improve the flexibility of testing tools. Finally, we outline our plan for realizing MDE-driven MBT within an existing online testing framework.",Model-based testing; Model-driven engineering; Orchestration; SOA,Computer software reusability; Information services; Model checking; Automated techniques; Building applications; Model based testing; Model-driven Engineering; Orchestration; Platform independent; Service orchestration; Verification-and-validation; Service oriented architecture (SOA),Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85075631947,"Model-based testing, Model-driven engineering, Orchestration, SOA",4.0
Bernard E.; Botella J.; Ambert F.; Legeard B.; Utting M.,"Bernard, Elodie (57219183437); Botella, Julien (47061115200); Ambert, Fabrice (55580956100); Legeard, Bruno (6603012582); Utting, Mark (6603922152)",57219183437; 47061115200; 55580956100; 6603012582; 6603922152,Tool Support for Refactoring Manual Tests,2020,"Proceedings - 2020 IEEE 13th International Conference on Software Testing, Verification and Validation, ICST 2020",,,9159104,332,342,10.0,2,10.1109/ICST46399.2020.00041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091592642&doi=10.1109%2fICST46399.2020.00041&partnerID=40&md5=e395c99a61ad49508a2226b1732b9320,"Manual test suites are typically described by natural language, and over time large manual test suites become disordered and harder to use and maintain. This paper focuses on the challenge of providing tool support for refactoring such test suites to make them more usable and maintainable. We describe how we have applied various machine-learning and NLP techniques and other algorithms to the refactoring of manual test suites, plus the tool support we have built to embody these techniques and to allow test suites to be explored and visualised. We evaluate our approach on several industry test suites, and report on the time savings that were obtained.",Lightweight MBT; Machine Learning for Software Testing; Test suite minimisation; Test suite refactoring,Machine learning; Testing; Verification; Manual tests; Natural languages; Nlp techniques; Refactorings; Tool support; Software testing,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85091592642,"Lightweight MBT, Machine Learning for Software Testing, Test suite minimisation, Test suite refactoring",11.0
Li R.C.; Zhu G.G.,"Li, Ruixue C. (57204818393); Zhu, Guoming G. (26642277500)",57204818393; 26642277500,Model-based knock prediction and its stochastic feedforward compensation,2020,"IEEE/ASME International Conference on Advanced Intelligent Mechatronics, AIM",2020-July,,9158927,637,642,5.0,3,10.1109/AIM43001.2020.9158927,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090391381&doi=10.1109%2fAIM43001.2020.9158927&partnerID=40&md5=1734689f58ad58c19d1176b21b3df075,"This article studies the correlation between incylinder mixture temperature at intake valve closing and the engine knock, along with cycle-to-cycle knock variability based on a knock predictive model developed earlier. Based on the correlated stochastic relationship, a feedforward knock limit control strategy is developed to reduce the knock cycle-to-cycle variability and maintain the knock mean-intensity within a desired up bound while keeping spark timing close to engine MBT (maximum brake torque) timing as close as possible. The proposed feedforward control strategy is evaluated based on the knock predictive model in terms of knock mean-intensity and standard deviation and demonstrated its capability of reducing the knock cycle-to-cycle variability under the knock intensity constraint.",,Intelligent mechatronics; Predictive analytics; Stochastic models; Stochastic systems; Control strategies; Feed-forward compensation; In-cylinder mixtures; Intake valve closings; Maximum brake torques; Model-based OPC; Predictive modeling; Standard deviation; Combustion knock,Conference paper,Final,,Scopus,2-s2.0-85090391381,N/A,6.0
Gauthier J.-M.,"Gauthier, Jean-Marie (55247222300)",55247222300,"Test generation for RTES from SysML models: Context, motivations and research proposal",2013,"Proceedings - IEEE 6th International Conference on Software Testing, Verification and Validation, ICST 2013",,,6569775,503,504,1.0,3,10.1109/ICST.2013.83,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883315667&doi=10.1109%2fICST.2013.83&partnerID=40&md5=1294fa892ce4fd575a0f187b0d698f0b,"This paper presents the context, motivations and perspectives of my PhD research about model-based testing for real-time and embedded systems using SysML. This work is based on an existing model-based approach which has been proposed during the VETESS project. This approach aims to generate tests for embedded systems. In this paper, we identify areas of improvement, which permit us to evolve the initial approach by taking into account real-time aspects. This will contribute to an automated Model-Based Testing toolchain for real-time and embedded systems. © 2013 IEEE.",Model-Based Testing; Real-time systems; SysML,Embedded systems; Motivation; Real time systems; Model based approach; Model based testing; Real time aspects; Real-time and embedded systems; Research proposals; SysML; Test generations; Software testing,Conference paper,Final,,Scopus,2-s2.0-84883315667,"Model-Based Testing, Real-time systems, SysML",2.0
Kocsis M.C.; Mitchell R.; Moiz A.A.; Kalaskar V.; Williams D.R.; Sjovall S.,"Kocsis, Michael C. (55965794300); Mitchell, Robert (57200166618); Moiz, Ahmed Abdul (56748134500); Kalaskar, Vickey (36160132600); Williams, D. Ryan (57213469129); Sjovall, Scott (57216543136)",55965794300; 57200166618; 56748134500; 36160132600; 57213469129; 57216543136,Improving Heavy Duty Natural Gas Engine Efficiency: A Systematic Approach to Application of Dedicated EGR,2020,SAE Technical Papers,2020-April,April,,,,,2,10.4271/2020-01-0818,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083856862&doi=10.4271%2f2020-01-0818&partnerID=40&md5=5eeca7dabb2fd368a6c364c712c7185b,"The worldwide trend of tightening CO2 emissions standards and desire for near zero emissions is driving development of high efficiency natural gas engines for a low CO2 replacement of traditional diesel engines. A Cummins Westport ISX12 G was previously converted to a Dedicated EGR® (D-EGR®) configuration with two out of the six cylinders acting as the EGR producing cylinders. Using a systems approach, the combustion and turbocharging systems were optimized for improved efficiency while maintaining the potential for achieving 0.02 g/bhp-hr NOX standards. A prototype variable nozzle turbocharger was selected to maintain the stock torque curve. The EGR delivery method enabled a reduction in pre-turbine pressure as the turbine was not required to be undersized to drive EGR. A high energy Dual Coil Offset (DCO®) ignition system was utilized to maintain stable combustion with increased EGR rates. High compression ratio, reduced squish pistons were designed to maintain MBT combustion phasing and fast burn rates along the torque curve. The final engine configuration was tested on the Heavy-Duty Supplemental Emissions Test (SET), a 13-mode steady-state engine dynamometer test. The engine was able to achieve a weighted average efficiency improvement of 12% over the baseline configuration with a peak BTE of 41.7%. © 2020 SAE International. All Rights Reserved.",,Carbon dioxide; Gas engines; Ignition; Natural gas; Baseline configurations; Combustion phasing; Engine configuration; High compression ratio; Near-zero emissions; Systems approach; Turbocharging systems; Weighted averages; Gas emissions,Conference paper,Final,,Scopus,2-s2.0-85083856862,,
Glawar A.F.G.; Ziman P.R.; Wu K.; Natarajan V.; Wolgast E.J.; Dankers C.; Groves A.P.,"Glawar, Andreas F. G. (57197747063); Ziman, Pauline R. (55687813800); Wu, Kaihua (57204725403); Natarajan, Vinod (7102571668); Wolgast, Eike J. (57204727577); Dankers, Carolin (57204721386); Groves, Adrian P. (57197743730)",57197747063; 55687813800; 57204725403; 7102571668; 57204727577; 57204721386; 57197743730,"Understanding the Adverse Effects of Inlet Valve Deposits on SI Engine Operation, through a Novel Technique to Create Surrogate Deposits",2018,SAE Technical Papers,2018-September,,,,,,2,10.4271/2018-01-1742,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056885663&doi=10.4271%2f2018-01-1742&partnerID=40&md5=589b2346d9280da16d2470b18fd56477,"For gasoline spark ignition engines, port fuel injection (PFI) on a global basis remains the most common type of fuel delivery. When operated with lower quality fuels and lubricants, PFI engines are prone to suffering from the build-up of harmful deposits on critical engine parts including the inlet valves. High levels of inlet valve deposits (IVDs) have been associated with drivability issues like engine stumble and hesitation on sudden acceleration. Fuels formulated with the appropriate level of deposit control additive (DCA) can maintain engine cleanliness and even remove deposits from critical components. This study, involving a single cylinder research bench engine operated in PFI injection mode and heavily augmented with measurement equipment, aimed to gain a deeper understanding of the detrimental impacts of IVDs on engine efficiency and performance. Guided by 3D-scans of carbonaceous IVDs sourced from industry standard tests conducted per ASTM D5500, surrogate metal deposits were generated, utilizing the novel approach of powder-laser-cladding (PLC). The modified inlet valves were evaluated in the research engine across eight different speed load conditions including full-load. Using this approach and building on the results previously obtained on the industry standard Mercedes-Benz M111 bench engine, it was possible to quantify an increase of more than 3 crank angle degrees in combustion duration at a 95% level of statistical confidence, due to the presence of the simulated IVDs. Similarly, IVDs limited the quantity of air entering the cylinder which reduced power output of the engine for a given condition by 1.9% at a 99% level of statistical confidence. These effects were corroborated by supporting secondary metrics such as exhaust temperature increases and peak pressure reductions. Overall, it was shown that the presence of IVDs shifted the center of combustion away from the engine's optimum point for efficiency as defined by the maximum brake torque (MBT) spark timing. © 2018 Shell Global Solutions (US) Inc.",,Combustion; Deposits; Diesel engines; Efficiency; Fuels; Combustion duration; Crank angle degrees; Exhaust temperature; Industry standards; Maximum brake torques; Measurement equipment; Port fuel injections; Statistical confidence; Engine cylinders,Conference paper,Final,,Scopus,2-s2.0-85056885663,,
Sun F.; Liao L.; Zhang L.,"Sun, Fuzhen (36572575800); Liao, Lejian (7202542567); Zhang, Longbo (14520051300)",36572575800; 7202542567; 14520051300,Model-based testing of web service with EFSM,2014,Advances in Intelligent Systems and Computing,279,,,91,100,9.0,2,10.1007/978-3-642-54927-4_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921846492&doi=10.1007%2f978-3-642-54927-4_9&partnerID=40&md5=98c7fb50856c92b4b616593bd10b6ab3,"Web services are becoming more and more widespread as an emerging technology; it is hard to test Web services because they are distributed applications with numerous aspects of runtime behavior that are different from typical applications. This paper presents a new approach to testing Web services based on Extended Finite State Machine (EFSM). Web Services Description Language (WSDL) file alone does not provide dynamic behavior information. This problem can be overcome by appending the formal model of EFSM to standard WSDL, we can generate a set of test cases which has a better test coverage than other methods. Moreover, a procedure for deriving an EFSM model from WSDL specification is provided to help a service provider augment, the EFSM model describing dynamic behaviors of the Web service. To show the efficacy of our approach, we applied our approach to Parlay-X Web services. In this way, we can test Web services with greater confidence in potential fault detection.",Extended finite state machine (EFSM); Fault detection; Model-based testing; Web service,Fault detection; Intelligent systems; Knowledge engineering; Logic circuits; Model checking; Signal encoding; Social networking (online); Software testing; Websites; Distributed applications; Emerging technologies; Extended finite state machine; Model based testing; Parlay-X Web services; Runtime behaviors; Typical application; Web services description languages; Web services,Conference paper,Final,,Scopus,2-s2.0-84921846492,"Extended finite state machine (EFSM), Fault detection, Model-based testing, Web service",10.0
Kushik N.; Yevtushenko N.; López J.,"Kushik, Natalia (46061062700); Yevtushenko, Nina (6701637985); López, Jorge (57220756264)",46061062700; 6701637985; 57220756264,Testing Against Non-deterministic FSMs: A Probabilistic Approach for Test Suite Minimization,2022,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),13045 LNCS,,,55,61,6.0,1,10.1007/978-3-031-04673-5_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130215440&doi=10.1007%2f978-3-031-04673-5_4&partnerID=40&md5=b87699b9887675e52a59253d4f785d23,"The paper is devoted to model based testing against non-deterministic specifications. Such test derivation strategies are well developed, for example against non-deterministic Finite State Machines, however the length of the corresponding test suite can be exponential w.r.t. the number of specification states. We therefore discuss how a test suite can be minimized or reduced when certain level of guarantee concerning its fault coverage is still preserved. The main idea behind the approach is to augment the specification by assigning probabilities for the non-deterministic transitions and later on evaluate the probability of each test sequence to detect the relevant faulty implementation. Given a probability P which is user-defined, we propose an approach for minimizing a given exhaustive test suite TS such that, it stays exhaustive with the probability no less than P.",Guaranteed fault coverage; Model based testing; Non-deterministic finite state machines; Probabilistic approach,Probability; Software testing; Specifications; Deterministic specifications; Deterministics; Exponentials; Fault coverages; Guaranteed fault coverage; Model based testing; Non-deterministic finite state machine; Probabilistics approach; Test derivation; Test suite minimization; Model checking,Conference paper,Final,,Scopus,2-s2.0-85130215440,"Guaranteed fault coverage, Model based testing, Non-deterministic finite state machines, Probabilistic approach",7.0
Viollet Y.; Abdullah M.; Alhajhouje A.; Chang J.,"Viollet, Yoann (55677718400); Abdullah, Marwan (56747190600); Alhajhouje, Abdullah (56747941200); Chang, Junseok (24342997000)",55677718400; 56747190600; 56747941200; 24342997000,Characterization of High Efficiency Octane-On-Demand Fuels Requirement in a Modern Spark Ignition Engine with Dual Injection System,2015,SAE Technical Papers,2015-April,April,,,,,24,10.4271/2015-01-1265,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938324690&doi=10.4271%2f2015-01-1265&partnerID=40&md5=52c151fbcef7478c659343e886348e5e,"In a regulatory environment for spark ignition (SI) engines where the focus is continuously looking into improvements in fuel economy and reduction in noxious emissions, the challenges to achieve future requirements are utmost. To effectively reduce CO2 emissions on a well-to-wheel basis, future fuels enabling high efficiency SI engines will have to not only satisfy advanced engine requirements, i.e. high knock resistance, but also produce less CO2 emissions in the refinery. This paper describes how to characterize SI combustion's on-demand octane requirement with three different dual fuel configurations. Refinery naphtha was used for low octane component, and three oxygenates were used for high octane knock inhibiting component, such as, Methanol and Methyl tert-butyl ether (MTBE) and Ethyl tert-butyl ether (ETBE). Each low and high octane fuel was introduced via production gasoline direct injector (DI) and port fuel injector (PFI) in both configurations. It was found that benefits of the high RON component was amplified when it was introduced through DI while the low RON naphtha was injected in PFI. Methanol had been shown to be most effective through DI due to its high heat of evaporation and charge cooling. Consequently, the minimum methanol requirement to maintain MBT is less than MTBE or ETBE by volume. An optimum oxygenate map was found within a range of 1500 to 3500 rpm in speed and 1bar to 13bar Brake Mean Effective Pressure (BMEP) in load range conditions. As a result, the engine could operate solely with low octane naphtha, up to loads of 4-bar BMEP. At a high load condition, such as 1500 rpm, 13bar BMEP, minimum requirement of methanol was 43% of total dual fuel, while MTBE requirement was 74%. This was because methanol's charge cooling in the chamber had a dominant effect on knock suppression, although a RON of MTBE was higher than methanol. On the contrary, the total fuel consumption with naphtha-methanol was higher than one with naphtha-MTBE. This was due to the fact that methanol's lower energy value required more naphtha as the primary fuel source, while MTBE could contribute 1.5 times higher energy than methanol. Three fuels with both high and low octane properties could provide the optimum octane on an as-required basis. This can enable engine manufacturers to further downsize engines by means of an additional parameter to dynamically control the knock boundary. Copyright © 2015 SAE International.",,Carbon dioxide; Dual fuel engines; Ethers; Fuel economy; Fuels; Methanol; Naphthas; Refining; Brake mean effective pressures; Dual injection system; Engine manufacturers; Ethyl tert-butyl ether; Methyl tert butyl ether; Minimum requirements; Port fuel injectors; Regulatory environment; Direct injection,Conference paper,Final,,Scopus,2-s2.0-84938324690,,
