Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Inspecting Code Churns to Prioritize Test Cases,Testing Software and Systems,,,,10.1007/978-3-030-64881-7_17,Francesco AltieroAnna CorazzaSergio Di MartinoAdriano PeronLuigi Libero Lucio Starace,2020,http://link.springer.com/chapter/10.1007/978-3-030-64881-7_17,Chapter
Continuous Optimization Benchmarks by Simulation,Parallel Problem Solving from Nature – PPSN XVI,,,,10.1007/978-3-030-58112-1_19,Martin ZaeffererFrederik Rehbach,2020,http://link.springer.com/chapter/10.1007/978-3-030-58112-1_19,Chapter
Statistical Model Checking for Variability-Intensive Systems,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-45234-6_15,Maxime CordyMike PapadakisAxel Legay,2020,http://link.springer.com/chapter/10.1007/978-3-030-45234-6_15,Chapter
Safety Patterns for SysML: What Does OMG Specify?,Reuse in Emerging Software Engineering Practices,,,,10.1007/978-3-030-64694-3_2,Nan NiuLogan JohnsonChristopher Diltz,2020,http://link.springer.com/chapter/10.1007/978-3-030-64694-3_2,Chapter
Systematic Approach to Engineer Decentralized Self-adaptive Systems,Software Architecture,,,,10.1007/978-3-030-59155-7_4,Federico Quin,2020,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_4,Chapter
Formal Verification of OIL Component Specifications using mCRL2,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-58298-2_10,Olav BunteLouis C. M. van GoolTim A. C. Willemse,2020,http://link.springer.com/chapter/10.1007/978-3-030-58298-2_10,Chapter
Continuous Formal Verification of Microservice-Based Process Flows,Software Architecture,,,,10.1007/978-3-030-59155-7_31,Matteo Camilli,2020,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_31,Chapter
Declarative Stream Runtime Verification (hLola),Programming Languages and Systems,,,,10.1007/978-3-030-64437-6_2,Martín CeresaFelipe GorostiagaCésar Sánchez,2020,http://link.springer.com/chapter/10.1007/978-3-030-64437-6_2,Chapter
Quantifying the Similarity of Non-bisimilar Labelled Transition Systems,Software Engineering and Formal Methods,,,,10.1007/978-3-030-57506-9_16,Gwen Salaün,2020,http://link.springer.com/chapter/10.1007/978-3-030-57506-9_16,Chapter
Optimistic and Pessimistic On-the-fly Analysis for Metric Temporal Graph Logic,Graph Transformation,,,,10.1007/978-3-030-51372-6_16,Sven SchneiderLucas SakizloglouMaria MaximovaHolger Giese,2020,http://link.springer.com/chapter/10.1007/978-3-030-51372-6_16,Chapter
On Testing Message-Passing Components,"Leveraging Applications of Formal Methods, Verification and Validation: Verification Principles",,,,10.1007/978-3-030-61362-4_2,Alex CotoRoberto GuancialeEmilio Tuosto,2020,http://link.springer.com/chapter/10.1007/978-3-030-61362-4_2,Chapter
Modelling an Automotive Software-Intensive System with Adaptive Features Using ASMETA,Rigorous State-Based Methods,,,,10.1007/978-3-030-48077-6_25,Paolo ArcainiSilvia BonfantiAngelo GargantiniElvinia RiccobenePatrizia Scandurra,2020,http://link.springer.com/chapter/10.1007/978-3-030-48077-6_25,Chapter
Tendermint Blockchain Synchronization: Formal Specification and Model Checking,"Leveraging Applications of Formal Methods, Verification and Validation: Verification Principles",,,,10.1007/978-3-030-61362-4_27,Sean BraithwaiteEthan BuchmanIgor KonnovZarko MilosevicIlina StoilkovskaJosef WidderAnca Zamfir,2020,http://link.springer.com/chapter/10.1007/978-3-030-61362-4_27,Chapter
Towards a Formally Verified Implementation of the MimbleWimble Cryptocurrency Protocol,Applied Cryptography and Network Security Workshops,,,,10.1007/978-3-030-61638-0_1,Gustavo BetarteMaximiliano CristiáCarlos LunaAdrián SilveiraDante Zanarini,2020,http://link.springer.com/chapter/10.1007/978-3-030-61638-0_1,Chapter
Using Model Learning for the Generation of Mock Components,Testing Software and Systems,,,,10.1007/978-3-030-64881-7_1,Sébastien SalvaElliott Blot,2020,http://link.springer.com/chapter/10.1007/978-3-030-64881-7_1,Chapter
"The Impact of Social-Support, Self-efficacy and APP on MBI","Cross-Cultural Design. Applications in Health, Learning, Communication, and Creativity",,,,10.1007/978-3-030-49913-6_12,Shu-Mei LinLiang-Ming LoChia-Yi LiuChao LiuWen-Ko Chiou,2020,http://link.springer.com/chapter/10.1007/978-3-030-49913-6_12,Chapter
Initial Pose Estimation of 3D Object with Severe Occlusion Using Deep Learning,Advanced Concepts for Intelligent Vision Systems,,,,10.1007/978-3-030-40605-9_28,Jean-Pierre LomalizaHanhoon Park,2020,http://link.springer.com/chapter/10.1007/978-3-030-40605-9_28,Chapter
STAMP S&S: Layered Modeling for the Complexed System in the Society of AI/IoT,Knowledge-Based Software Engineering: 2020,,,,10.1007/978-3-030-53949-8_11,Tomoko KanekoNobukazu Yoshioka,2020,http://link.springer.com/chapter/10.1007/978-3-030-53949-8_11,Chapter
The First Twenty-Five Years of Industrial Use of the B-Method,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-58298-2_8,Michael ButlerPhilipp KörnerSebastian KringsThierry LecomteMichael LeuschelLuis-Fernando MejiaLaurent Voisin,2020,http://link.springer.com/chapter/10.1007/978-3-030-58298-2_8,Chapter
Families of Monotonic Trees: Combinatorial Enumeration and Asymptotics,Computer Science – Theory and Applications,,,,10.1007/978-3-030-50026-9_11,Olivier BodiniAntoine GenitriniMehdi NaimaAlexandros Singh,2020,http://link.springer.com/chapter/10.1007/978-3-030-50026-9_11,Chapter
A Study of Mechanism Design for C2C Service Based on Multi-agent Simulation,Knowledge-Based Software Engineering: 2020,,,,10.1007/978-3-030-53949-8_6,Takuya IzumisawaYuki KatsumataAkira Yamada,2020,http://link.springer.com/chapter/10.1007/978-3-030-53949-8_6,Chapter
Quantitative Analysis of Goal Oriented Requirements Models,Knowledge-Based Software Engineering: 2020,,,,10.1007/978-3-030-53949-8_1,Haruhiko Kaiya,2020,http://link.springer.com/chapter/10.1007/978-3-030-53949-8_1,Chapter
Revisiting Principles and Challenges in Natural Language Programming,Knowledge-Based Software Engineering: 2020,,,,10.1007/978-3-030-53949-8_2,Juliano Efson SalesAndré FreitasDouglas OliveiraAdamantios KoumpisSiegfried Handschuh,2020,http://link.springer.com/chapter/10.1007/978-3-030-53949-8_2,Chapter
Experimental Evaluation of Traceability Checking Tool for Goal Dependency Modeling,Knowledge-Based Software Engineering: 2020,,,,10.1007/978-3-030-53949-8_7,Haruhiko KaiyaWataru FujitaRyotaro YamadaAtsuo HazeyamaShinpei OgataTakao OkuboNobukazu YoshiokaHironori Washizaki,2020,http://link.springer.com/chapter/10.1007/978-3-030-53949-8_7,Chapter
State Identification for Labeled Transition Systems with Inputs and Outputs,Formal Aspects of Component Software,,,,10.1007/978-3-030-40914-2_10,Petra van den BosFrits Vaandrager,2020,http://link.springer.com/chapter/10.1007/978-3-030-40914-2_10,Chapter
How the Apriori Algorithm Can Help to Find Semantic Duplicates in Ontology,Knowledge-Based Software Engineering: 2020,,,,10.1007/978-3-030-53949-8_16,Irina AstrovaArne KoschelSu Ling Lee,2020,http://link.springer.com/chapter/10.1007/978-3-030-53949-8_16,Chapter
Learning-Based Testing of an Industrial Measurement Device,NASA Formal Methods,,,,10.1007/978-3-030-20652-9_1,Bernhard K. AichernigChristian BurghardRobert Korošec,2019,http://link.springer.com/chapter/10.1007/978-3-030-20652-9_1,Chapter
A Model-Driven Approach for Simplified Cluster Based Test Suite Optimization of Industrial Systems – An Introduction to UMLTSO,Computer Information Systems and Industrial Management,,,,10.1007/978-3-030-28957-7_14,Ayesha KiranFarooque AzamMuhammad Waseem AnwarIqra QasimHanny Tufail,2019,http://link.springer.com/chapter/10.1007/978-3-030-28957-7_14,Chapter
"Challenges for Automated, Model-Based Test Scenario Generation",Information and Software Technologies,,,,10.1007/978-3-030-30275-7_15,Alexander KolchinStepan PotiyenkoThomas Weigert,2019,http://link.springer.com/chapter/10.1007/978-3-030-30275-7_15,Chapter
Visualization and Abstractions for Execution Paths in Model-Based Software Testing,Integrated Formal Methods,,,,10.1007/978-3-030-34968-4_26,Rui WangCyrille ArthoLars Michael KristensenVolker Stolz,2019,http://link.springer.com/chapter/10.1007/978-3-030-34968-4_26,Chapter
Automatic Generation of Test Oracles from Component Based Software Architectures,Testing Software and Systems,,,,10.1007/978-3-030-31280-0_16,Maxime SamsonThomas Vergnaud,2019,http://link.springer.com/chapter/10.1007/978-3-030-31280-0_16,Chapter
VERCORS: Hardware and Software Complex for Intelligent Round-Trip Formalized Verification of Dependable Cyber-Physical Systems in a Digital Twin Environment (Position Paper),Software Technology: Methods and Tools,,,,10.1007/978-3-030-29852-4_30,Alexandr NaumchevAndrey SadovykhVladimir Ivanov,2019,http://link.springer.com/chapter/10.1007/978-3-030-29852-4_30,Chapter
Formal Modelling and Verification of an Interlocking Using mCRL2,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-27008-7_2,Mark BouwmanBob JanssenBas Luttik,2019,http://link.springer.com/chapter/10.1007/978-3-030-27008-7_2,Chapter
A Search-Based Approach to Generate MC/DC Test Data for OCL Constraints,Search-Based Software Engineering,,,,10.1007/978-3-030-27455-9_8,Hassan SartajMuhammad Zohaib IqbalAtif Aftab Ahmed JilaniMuhammad Uzair Khan,2019,http://link.springer.com/chapter/10.1007/978-3-030-27455-9_8,Chapter
"A Test Specification Language for Information Systems Based on Data Entities, Use Cases and State Machines",Model-Driven Engineering and Software Development,,,,10.1007/978-3-030-11030-7_20,Alberto Rodrigues da SilvaAna C. R. PaivaValter E. R. da Silva,2019,http://link.springer.com/chapter/10.1007/978-3-030-11030-7_20,Chapter
Component-aware Input-Output Conformance,"Formal Techniques for Distributed Objects, Components, and Systems",,,,10.1007/978-3-030-21759-4_7,Alexander Graf-BrillHolger Hermanns,2019,http://link.springer.com/chapter/10.1007/978-3-030-21759-4_7,Chapter
Property-Based Test Case Generators for Free,Tests and Proofs,,,,10.1007/978-3-030-31157-5_12,Emanuele De AngelisFabio FioravantiAdrián PalaciosAlberto PettorossiMaurizio Proietti,2019,http://link.springer.com/chapter/10.1007/978-3-030-31157-5_12,Chapter
Testing Real-Time Systems Using Determinization Techniques for Automata over Timed Domains,Theoretical Aspects of Computing – ICTAC 2019,,,,10.1007/978-3-030-32505-3_8,Moez Krichen,2019,http://link.springer.com/chapter/10.1007/978-3-030-32505-3_8,Chapter
Directed Multi-target Search Based Unit Tests Generation,Information and Software Technologies,,,,10.1007/978-3-030-30275-7_8,Greta RudžionienėŠarūnas PackevičiusEduardas Bareiša,2019,http://link.springer.com/chapter/10.1007/978-3-030-30275-7_8,Chapter
Generating Test Data for Blackbox Testing from UML-Based Web Engineering Content and Presentation Models,Industrial Networks and Intelligent Systems,,,,10.1007/978-3-030-30149-1_17,Quyet-Thang HuynhDinh-Dien TranDuc-Man NguyenNhu-Hang HaThi-Mai-Anh BuiPhi-Le Nguyen,2019,http://link.springer.com/chapter/10.1007/978-3-030-30149-1_17,Chapter
Multi-objective Search for Effective Testing of Cyber-Physical Systems,Software Engineering and Formal Methods,,,,10.1007/978-3-030-30446-1_10,Hugo AraujoGustavo CarvalhoMohammad Reza MousaviAugusto Sampaio,2019,http://link.springer.com/chapter/10.1007/978-3-030-30446-1_10,Chapter
A Methodology for Generating Tests for Evaluating User-Centric Performance of Mobile Streaming Applications,Model-Driven Engineering and Software Development,,,,10.1007/978-3-030-11030-7_18,Mustafa Al-tekreetiKshirasagar NaikAtef AbdrabouMarzia ZamanPradeep Srivastava,2019,http://link.springer.com/chapter/10.1007/978-3-030-11030-7_18,Chapter
Does Diversity Improve the Test Suite Generation for Mobile Applications?,Search-Based Software Engineering,,,,10.1007/978-3-030-27455-9_5,Thomas VogelChinh TranLars Grunske,2019,http://link.springer.com/chapter/10.1007/978-3-030-27455-9_5,Chapter
Research Review on Web Service Composition Testing,Structured Object-Oriented Formal Language and Method,,,,10.1007/978-3-030-13651-2_3,Zhoujie DuHuaikou Miao,2019,http://link.springer.com/chapter/10.1007/978-3-030-13651-2_3,Chapter
Conformance Testing of Schedulers for DSL-based Model Checking,Model Checking Software,,,,10.1007/978-3-030-30923-7_12,Nhat-Hoa TranToshiaki Aoki,2019,http://link.springer.com/chapter/10.1007/978-3-030-30923-7_12,Chapter
Mutation Testing with Hyperproperties,Software Engineering and Formal Methods,,,,10.1007/978-3-030-30446-1_11,Andreas FellnerMitra Tabaei BefroueiGeorg Weissenbacher,2019,http://link.springer.com/chapter/10.1007/978-3-030-30446-1_11,Chapter
Mutation-Based Web Test Case Generation,Quality of Information and Communications Technology,,,,10.1007/978-3-030-29238-6_25,Sérgio AlmeidaAna C. R. PaivaAndré Restivo,2019,http://link.springer.com/chapter/10.1007/978-3-030-29238-6_25,Chapter
A Lightweight Multilevel Markup Language for Connecting Software Requirements and Simulations,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-030-15538-4_11,Florian PudlitzAndreas VogelsangFlorian Brokhausen,2019,http://link.springer.com/chapter/10.1007/978-3-030-15538-4_11,Chapter
Time to Learn – Learning Timed Automata from Tests,Formal Modeling and Analysis of Timed Systems,,,,10.1007/978-3-030-29662-9_13,Martin TapplerBernhard K. AichernigKim Guldstrand LarsenFlorian Lorber,2019,http://link.springer.com/chapter/10.1007/978-3-030-29662-9_13,Chapter
Rationalizing the Need of Architecture-Driven Testing of Interactive Systems,Human-Centered Software Engineering,,,,10.1007/978-3-030-05909-5_10,Alexandre CannyElodie BouzekriCélia MartiniePhilippe Palanque,2019,http://link.springer.com/chapter/10.1007/978-3-030-05909-5_10,Chapter
A Modular Hybrid Learning Approach for Black-Box Security Testing of CPS,Applied Cryptography and Network Security,,,,10.1007/978-3-030-21568-2_10,John Henry CastellanosJianying Zhou,2019,http://link.springer.com/chapter/10.1007/978-3-030-21568-2_10,Chapter
A Fault-Driven Combinatorial Process for Model Evolution in XSS Vulnerability Detection,Advances and Trends in Artificial Intelligence. From Theory to Practice,,,,10.1007/978-3-030-22999-3_19,Bernhard GarnMarco RadavelliAngelo GargantiniManuel LeithnerDimitris E. Simos,2019,http://link.springer.com/chapter/10.1007/978-3-030-22999-3_19,Chapter
Survey on Formal Methods and Tools in Railways: The ASTRail Approach,"Reliability, Safety, and Security of Railway Systems. Modelling, Analysis, Verification, and Certification",,,,10.1007/978-3-030-18744-6_15,Alessio FerrariMaurice H. ter BeekFranco MazzantiDavide BasileAlessandro FantechiStefania GnesiAndrea PiattinoDaniele Trentini,2019,http://link.springer.com/chapter/10.1007/978-3-030-18744-6_15,Chapter
SoTesTeR: Software Testing Techniques’ Recommender System Using a Collaborative Approach,Information Management and Big Data,,,,10.1007/978-3-030-11680-4_28,Ronald IbarraGlen Rodriguez,2019,http://link.springer.com/chapter/10.1007/978-3-030-11680-4_28,Chapter
Empowering Continuous Delivery in Software Development: The DevOps Strategy,Software Technologies,,,,10.1007/978-3-030-29157-0_11,Clauirton SiebraRosberg LacerdaItalo CerqueiraJonysberg P. QuintinoFabiana FlorentinFabio B. Q. da SilvaAndre L. M. Santos,2019,http://link.springer.com/chapter/10.1007/978-3-030-29157-0_11,Chapter
Local Observability and Controllability Enforcement in Distributed Testing,Quality of Information and Communications Technology,,,,10.1007/978-3-030-29238-6_24,Bruno LimaJoão Pascoal FariaRobert Hierons,2019,http://link.springer.com/chapter/10.1007/978-3-030-29238-6_24,Chapter
Automatic Test Data Generation for a Given Set of Applications Using Recurrent Neural Networks,Software Technologies,,,,10.1007/978-3-030-29157-0_14,Ciprian PaduraruMarius-Constantin MelemciucMiruna Paduraru,2019,http://link.springer.com/chapter/10.1007/978-3-030-29157-0_14,Chapter
Incorporating Data into EFSM Inference,Software Engineering and Formal Methods,,,,10.1007/978-3-030-30446-1_14,Michael FosterAchim D. BruckerRamsay G. TaylorSiobhán NorthJohn Derrick,2019,http://link.springer.com/chapter/10.1007/978-3-030-30446-1_14,Chapter
Why Software Testing Fails: Common Pitfalls Observed in a Critical Smart Metering Project,Software Quality: The Complexity and Challenges of Software Engineering and Software Quality in the Cloud,,,,10.1007/978-3-030-05767-1_6,Stefan MohacsiRudolf Ramler,2019,http://link.springer.com/chapter/10.1007/978-3-030-05767-1_6,Chapter
TOOLympics 2019: An Overview of Competitions in Formal Methods,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-030-17502-3_1,Ezio BartocciDirk BeyerPaul E. BlackGrigory FedyukovichHubert GaravelArnd HartmannsMarieke HuismanFabrice KordonJulian NageleMihaela SighireanuBernhard SteffenMartin SudaGeoff SutcliffeTjark WeberAkihisa Yamada,2019,http://link.springer.com/chapter/10.1007/978-3-030-17502-3_1,Chapter
Ensuring the Consistency Between User Requirements and GUI Prototypes: A Behavior-Based Automated Approach,Human-Computer Interaction – INTERACT 2019,,,,10.1007/978-3-030-29381-9_39,Thiago Rocha SilvaMarco WincklerHallvard Trætteberg,2019,http://link.springer.com/chapter/10.1007/978-3-030-29381-9_39,Chapter
Formal Model Validation Through Acceptance Tests,"Reliability, Safety, and Security of Railway Systems. Modelling, Analysis, Verification, and Certification",,,,10.1007/978-3-030-18744-6_10,Tomas FischerDana Dghyam,2019,http://link.springer.com/chapter/10.1007/978-3-030-18744-6_10,Chapter
Repairing Timed Automata Clock Guards through Abstraction and Testing,Tests and Proofs,,,,10.1007/978-3-030-31157-5_9,Étienne AndréPaolo ArcainiAngelo GargantiniMarco Radavelli,2019,http://link.springer.com/chapter/10.1007/978-3-030-31157-5_9,Chapter
Software Assurance in an Uncertain World,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-16722-6_1,Marsha ChechikRick SalayTorin VigerSahar KokalyMona Rahimi,2019,http://link.springer.com/chapter/10.1007/978-3-030-16722-6_1,Chapter
Adaptation and Implementation of the ISO42010 Standard to Software Design and Modeling Tools,Model-Driven Engineering and Software Development,,,,10.1007/978-3-030-11030-7_11,Maged ElaasarFlorian NoyritOmar BadreddinSébastien Gérard,2019,http://link.springer.com/chapter/10.1007/978-3-030-11030-7_11,Chapter
Testing for Integrity Flaws in Web Sessions,Computer Security – ESORICS 2019,,,,10.1007/978-3-030-29962-0_29,Stefano CalzavaraAlvise RabittiAlessio RagazzoMichele Bugliesi,2019,http://link.springer.com/chapter/10.1007/978-3-030-29962-0_29,Chapter
Extracting High-Level System Specifications from Source Code via Abstract State Machines,Model and Data Engineering,,,,10.1007/978-3-030-32065-2_19,Flavio FerrarottiJosef PichlerMichael MoserGeorg Buchgeher,2019,http://link.springer.com/chapter/10.1007/978-3-030-32065-2_19,Chapter
An Implementation Relation for Cyclic Systems with Refusals and Discrete Time,Software Engineering and Formal Methods,,,,10.1007/978-3-030-30446-1_21,Raluca LefticaruRobert M. HieronsManuel Núñez,2019,http://link.springer.com/chapter/10.1007/978-3-030-30446-1_21,Chapter
A Survey on Model-Based Testing Tools for Test Case Generation,Tools and Methods of Program Analysis,,,,10.1007/978-3-319-71734-0_7,Wenbin LiFranck Le GallNaum Spaseski,2018,http://link.springer.com/chapter/10.1007/978-3-319-71734-0_7,Chapter
Model Based Testing of Cyber-Physical Systems,Formal Methods and Software Engineering,,,,10.1007/978-3-030-02450-5_27,Teck Ping Khoo,2018,http://link.springer.com/chapter/10.1007/978-3-030-02450-5_27,Chapter
Model-Based Testing for Avionic Systems Proven Benefits and Further Challenges,"Leveraging Applications of Formal Methods, Verification and Validation. Industrial Practice",,,,10.1007/978-3-030-03427-6_11,Jan PeleskaJörg BrauerWen-ling Huang,2018,http://link.springer.com/chapter/10.1007/978-3-030-03427-6_11,Chapter
Scrum and V Lifecycle Combined with Model-Based Testing and Model Driven Architecture to Deal with Evolutionary System Issues,Model and Data Engineering,,,,10.1007/978-3-030-00856-7_5,Imane EssebaaSalima Chantit,2018,http://link.springer.com/chapter/10.1007/978-3-030-00856-7_5,Chapter
Model-Based Testing for Avionics Systems,Formal Methods,,,,10.1007/978-3-319-95582-7_40,Jörg BrauerUwe Schulze,2018,http://link.springer.com/chapter/10.1007/978-3-319-95582-7_40,Chapter
Model-Based Testing for General Stochastic Time,NASA Formal Methods,,,,10.1007/978-3-319-77935-5_15,Marcus GerholdArnd HartmannsMariëlle Stoelinga,2018,http://link.springer.com/chapter/10.1007/978-3-319-77935-5_15,Chapter
An Extension of TRIANGLE Testbed with Model-Based Testing,Model Checking Software,,,,10.1007/978-3-319-94111-0_11,Laura PanizoAlmudena DíazBruno García,2018,http://link.springer.com/chapter/10.1007/978-3-319-94111-0_11,Chapter
Towards a Model-Based Testing Framework for the Security of Internet of Things for Smart City Applications,"Smart Societies, Infrastructure, Technologies and Applications",,,,10.1007/978-3-319-94180-6_34,Moez KrichenOmar CheikhrouhouMariam LahamiRoobaea AlroobaeaAfef Jmal Maâlej,2018,http://link.springer.com/chapter/10.1007/978-3-319-94180-6_34,Chapter
MBT/CPN: A Tool for Model-Based Software Testing of Distributed Systems Protocols Using Coloured Petri Nets,Verification and Evaluation of Computer and Communication Systems,,,,10.1007/978-3-030-00359-3_7,Rui WangLars Michael KristensenVolker Stolz,2018,http://link.springer.com/chapter/10.1007/978-3-030-00359-3_7,Chapter
Model Based Approach for Testing: Distributed Real-Time Systems Augmented with Online Monitors,Databases and Information Systems,,,,10.1007/978-3-319-97571-9_13,Deepak PalJüri Vain,2018,http://link.springer.com/chapter/10.1007/978-3-319-97571-9_13,Chapter
Applying Integrated Domain-Specific Modeling for Multi-concerns Development of Complex Systems,Model-Driven Engineering and Software Development,,,,10.1007/978-3-319-94764-8_11,Reinhard PröllAdrian RumpoldBernhard Bauer,2018,http://link.springer.com/chapter/10.1007/978-3-319-94764-8_11,Chapter
Effective Test Suite Design for Detecting Concurrency Control Faults in Distributed Transaction Systems,"Leveraging Applications of Formal Methods, Verification and Validation. Distributed Systems",,,,10.1007/978-3-030-03424-5_24,Simin CaiBarbara GallinaDag NyströmCristina Seceleanu,2018,http://link.springer.com/chapter/10.1007/978-3-030-03424-5_24,Chapter
20 Years of UPPAAL Enabled Industrial Model-Based Validation and Beyond,"Leveraging Applications of Formal Methods, Verification and Validation. Industrial Practice",,,,10.1007/978-3-030-03427-6_18,Kim G. LarsenFlorian LorberBrian Nielsen,2018,http://link.springer.com/chapter/10.1007/978-3-030-03427-6_18,Chapter
Lessons Learned Using FMI Co-simulation for Model-Based Design of Cyber Physical Systems,"Leveraging Applications of Formal Methods, Verification and Validation. Distributed Systems",,,,10.1007/978-3-030-03424-5_33,Luís Diogo CoutoStylianos BasagiannisEl Hassan RidouaneErica ZavaglioPasquale AntonanteHajer SaadaSara Falleni,2018,http://link.springer.com/chapter/10.1007/978-3-030-03424-5_33,Chapter
The Miles Before Formal Methods - A Case Study on Modeling and Analyzing a Passenger Lift System,Formal Methods and Software Engineering,,,,10.1007/978-3-030-02450-5_4,Teck Ping KhooJun Sun,2018,http://link.springer.com/chapter/10.1007/978-3-030-02450-5_4,Chapter
"Life Sciences-Inspired Test Case Similarity Measures for Search-Based, FSM-Based Software Testing",Modelling Foundations and Applications,,,,10.1007/978-3-319-92997-2_13,Nesa AsoudehYvan Labiche,2018,http://link.springer.com/chapter/10.1007/978-3-319-92997-2_13,Chapter
QuickChecking Patricia Trees,Trends in Functional Programming,,,,10.1007/978-3-319-89719-6_4,Jan Midtgaard,2018,http://link.springer.com/chapter/10.1007/978-3-319-89719-6_4,Chapter
Randomized Event Sequence Generation Strategies for Automated Testing of Android Apps,Information Technology - New Generations,,,,10.1007/978-3-319-54978-1_72,David AdamoRenée BryceTariq M. King,2018,http://link.springer.com/chapter/10.1007/978-3-319-54978-1_72,Chapter
MoDeS3: Model-Based Demonstrator for Smart and Safe Cyber-Physical Systems,NASA Formal Methods,,,,10.1007/978-3-319-77935-5_31,András VörösMárton BúrIstván RáthÁkos HorváthZoltán MicskeiLászló BaloghBálint HegyiBenedek HorváthZsolt MázlóDániel Varró,2018,http://link.springer.com/chapter/10.1007/978-3-319-77935-5_31,Chapter
Model-Driven Engineering for Design-Runtime Interaction in Complex Systems: Scientific Challenges and Roadmap,Software Technologies: Applications and Foundations,,,,10.1007/978-3-030-04771-9_40,Hugo BruneliereRomina EramoAbel GómezValentin BesnardJean Michel BruelMartin GogollaAndreas KästnerAdrian Rutle,2018,http://link.springer.com/chapter/10.1007/978-3-030-04771-9_40,Chapter
Extending Automated Protocol State Learning for the 802.11 4-Way Handshake,Computer Security,,,,10.1007/978-3-319-99073-6_16,Chris McMahon StoneTom ChothiaJoeri de Ruiter,2018,http://link.springer.com/chapter/10.1007/978-3-319-99073-6_16,Chapter
A Proposal of an Example and Experiments Repository to Foster Industrial Adoption of Formal Methods,"Leveraging Applications of Formal Methods, Verification and Validation. Industrial Practice",,,,10.1007/978-3-030-03427-6_20,Rupert SchlickMichael FeldererIstvan MajzikRoberto NardoneAlexander RaschkeColin SnookValeria Vittorini,2018,http://link.springer.com/chapter/10.1007/978-3-030-03427-6_20,Chapter
Injecting Formal Verification in FMI-Based Co-simulations of Cyber-Physical Systems,Software Engineering and Formal Methods,,,,10.1007/978-3-319-74781-1_20,Luís Diogo CoutoStylianos BasagiannisEl Hassan RidouaneAlie El-Din MadyMiran HasanagicPeter Gorm Larsen,2018,http://link.springer.com/chapter/10.1007/978-3-319-74781-1_20,Chapter
Automatic Test Case Generation for Concurrent Features from Natural Language Descriptions,Formal Methods: Foundations and Applications,,,,10.1007/978-3-030-03044-5_11,Rafaela AlmeidaSidney NogueiraAugusto Sampaio,2018,http://link.springer.com/chapter/10.1007/978-3-030-03044-5_11,Chapter
Applying Model-Driven Web Engineering to the Testing Phase of the ADAGIO Project,Current Trends in Web Engineering,,,,10.1007/978-3-030-03056-8_2,L. MoralesS. Moreno-LeonardoM. A. OliveroA. Jiménez-RamírezM. Mejías,2018,http://link.springer.com/chapter/10.1007/978-3-030-03056-8_2,Chapter
Property-Aware Unit Testing of UML-RT Models in the Context of MDE,Modelling Foundations and Applications,,,,10.1007/978-3-319-92997-2_10,Reza AhmadiNicolas HiliJuergen Dingel,2018,http://link.springer.com/chapter/10.1007/978-3-319-92997-2_10,Chapter
Modelling and Validating an Engineering Application in Kernel P Systems,Membrane Computing,,,,10.1007/978-3-319-73359-3_12,Raluca LefticaruMehmet Emin BakirSavas KonurMike StannettFlorentin Ipate,2018,http://link.springer.com/chapter/10.1007/978-3-319-73359-3_12,Chapter
Formal Modelling of Environment Restrictions from Natural-Language Requirements,Formal Methods: Foundations and Applications,,,,10.1007/978-3-030-03044-5_16,Tainã SantosGustavo CarvalhoAugusto Sampaio,2018,http://link.springer.com/chapter/10.1007/978-3-030-03044-5_16,Chapter
Sound Black-Box Checking in the LearnLib,NASA Formal Methods,,,,10.1007/978-3-319-77935-5_24,Jeroen MeijerJaco van de Pol,2018,http://link.springer.com/chapter/10.1007/978-3-319-77935-5_24,Chapter
Consumer-Driven API Testing with Performance Contracts,Advances in Service-Oriented and Cloud Computing,,,,10.1007/978-3-319-72125-5_11,Johannes StählinSebastian LangFabian KajzarChristian Zirpins,2018,http://link.springer.com/chapter/10.1007/978-3-319-72125-5_11,Chapter
Deterministic High-Level Executable Models Allowing Efficient Runtime Verification,Model-Driven Engineering and Software Development,,,,10.1007/978-3-319-94764-8_6,Vladimir Estivill-CastroRené Hexel,2018,http://link.springer.com/chapter/10.1007/978-3-319-94764-8_6,Chapter
Test Derivation for SDN-Enabled Switches: A Logic Circuit Based Approach,Testing Software and Systems,,,,10.1007/978-3-319-99927-2_7,Jorge LópezNatalia KushikAsma BerririNina YevtushenkoDjamal Zeghlache,2018,http://link.springer.com/chapter/10.1007/978-3-319-99927-2_7,Chapter
Towards ‘Verifying’ a Water Treatment System,Formal Methods,,,,10.1007/978-3-319-95582-7_5,Jingyi WangJun SunYifan JiaShengchao QinZhiwu Xu,2018,http://link.springer.com/chapter/10.1007/978-3-319-95582-7_5,Chapter
