model,round,conf_matrix,tn,fp,fn,tp,total_classifications,total_lost_classifications,accuracy,recall,precision,f1,total_truth_class_low_priority_edits,total_truth_class_high_priority_edits,total_predicted_class_low_priority_edits,total_predicted_class_high_priority_edits,total_cts,total_new,total_obsolete,total_reusable,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
GPT-o1-mini-CoTToT,1,"[[18  0]
 [ 6 57]]",18,0,6,57,81,0,0.926,0.905,1.0,0.95,63,18,57,24,735,125,386,224,131,187,68,0.339
GPT-o1-mini-CoTToT,2,"[[18  0]
 [ 9 54]]",18,0,9,54,81,0,0.889,0.857,1.0,0.923,63,18,54,27,735,125,386,224,116,187,83,0.301
GPT-o1-mini-NaiveRAG,0,"[[ 6 12]
 [ 4 59]]",6,12,4,59,81,0,0.802,0.937,0.831,0.881,63,18,71,10,735,125,386,224,128,187,71,0.332
GPT-o1-mini-NaiveRAG,1,"[[ 9  9]
 [ 2 61]]",9,9,2,61,81,0,0.864,0.968,0.871,0.917,63,18,70,11,735,125,386,224,141,187,58,0.365
GPT-o1-mini-NaiveRAG,2,"[[ 9  9]
 [ 2 61]]",9,9,2,61,81,0,0.864,0.968,0.871,0.917,63,18,70,11,735,125,386,224,141,187,58,0.365
Llama-3.3-CoTToT,0,"[[11  7]
 [ 5 58]]",11,7,5,58,81,0,0.852,0.921,0.892,0.906,63,18,65,16,735,125,386,224,138,187,61,0.358
Llama-3.3-CoTToT,1,"[[13  5]
 [ 5 58]]",13,5,5,58,81,0,0.877,0.921,0.921,0.921,63,18,63,18,735,125,386,224,138,187,61,0.358
Llama-3.3-CoTToT,2,"[[13  5]
 [ 5 58]]",13,5,5,58,81,0,0.877,0.921,0.921,0.921,63,18,63,18,735,125,386,224,138,187,61,0.358
Llama-3.3-NaiveRAG,0,"[[13  5]
 [ 6 57]]",13,5,6,57,81,0,0.864,0.905,0.919,0.912,63,18,62,19,735,125,386,224,120,187,79,0.311
Llama-3.3-NaiveRAG,1,"[[13  5]
 [ 5 58]]",13,5,5,58,81,0,0.877,0.921,0.921,0.921,63,18,63,18,735,125,386,224,125,187,74,0.324
Llama-3.3-NaiveRAG,2,"[[13  5]
 [ 5 58]]",13,5,5,58,81,0,0.877,0.921,0.921,0.921,63,18,63,18,735,125,386,224,125,187,74,0.324
Mistral-CoTToT,0,"[[11  7]
 [ 7 56]]",11,7,7,56,81,0,0.827,0.889,0.889,0.889,63,18,63,18,735,125,386,224,121,187,78,0.313
Mistral-CoTToT,1,"[[11  7]
 [ 7 56]]",11,7,7,56,81,0,0.827,0.889,0.889,0.889,63,18,63,18,735,125,386,224,121,187,78,0.313
Mistral-CoTToT,2,"[[11  7]
 [ 7 56]]",11,7,7,56,81,0,0.827,0.889,0.889,0.889,63,18,63,18,735,125,386,224,121,187,78,0.313
Mistral-NaiveRAG,0,"[[ 9  9]
 [11 52]]",9,9,11,52,81,0,0.753,0.825,0.852,0.839,63,18,61,20,735,125,386,224,110,187,89,0.285
Mistral-NaiveRAG,1,"[[ 9  9]
 [11 52]]",9,9,11,52,81,0,0.753,0.825,0.852,0.839,63,18,61,20,735,125,386,224,110,187,89,0.285
Mistral-NaiveRAG,2,"[[ 9  9]
 [11 52]]",9,9,11,52,81,0,0.753,0.825,0.852,0.839,63,18,61,20,735,125,386,224,110,187,89,0.285
Mixtral-CoTToT,0,"[[10  8]
 [ 2 61]]",10,8,2,61,81,0,0.877,0.968,0.884,0.924,63,18,69,12,735,125,386,224,139,187,60,0.36
Mixtral-CoTToT,1,"[[10  8]
 [ 2 61]]",10,8,2,61,81,0,0.877,0.968,0.884,0.924,63,18,69,12,735,125,386,224,139,187,60,0.36
Mixtral-CoTToT,2,"[[ 9  9]
 [ 2 61]]",9,9,2,61,81,0,0.864,0.968,0.871,0.917,63,18,70,11,735,125,386,224,139,187,60,0.36
Mixtral-NaiveRAG,0,"[[13  5]
 [ 4 59]]",13,5,4,59,81,0,0.889,0.937,0.922,0.929,63,18,64,17,735,125,386,224,126,187,73,0.326
Mixtral-NaiveRAG,1,"[[12  6]
 [ 5 58]]",12,6,5,58,81,0,0.864,0.921,0.906,0.913,63,18,64,17,735,125,386,224,126,187,73,0.326
Mixtral-NaiveRAG,2,"[[13  5]
 [ 6 57]]",13,5,6,57,81,0,0.864,0.905,0.919,0.912,63,18,62,19,735,125,386,224,125,187,74,0.324
Openchat-3.5-CoTToT,0,"[[ 5 13]
 [ 3 60]]",5,13,3,60,81,0,0.802,0.952,0.822,0.882,63,18,73,8,735,125,386,224,128,187,71,0.332
Openchat-3.5-CoTToT,1,"[[ 5 13]
 [ 2 61]]",5,13,2,61,81,0,0.815,0.968,0.824,0.891,63,18,74,7,735,125,386,224,129,187,70,0.334
Openchat-3.5-CoTToT,2,"[[ 3 15]
 [ 4 59]]",3,15,4,59,81,0,0.765,0.937,0.797,0.861,63,18,74,7,735,125,386,224,122,187,77,0.316
Openchat-3.5-NaiveRAG,0,"[[ 5 13]
 [ 6 57]]",5,13,6,57,81,0,0.765,0.905,0.814,0.857,63,18,70,11,735,125,386,224,126,187,73,0.326
Openchat-3.5-NaiveRAG,1,"[[ 5 13]
 [ 8 55]]",5,13,8,55,81,0,0.741,0.873,0.809,0.84,63,18,68,13,735,125,386,224,113,187,86,0.293
Openchat-3.5-NaiveRAG,2,"[[ 4 14]
 [ 7 56]]",4,14,7,56,81,0,0.741,0.889,0.8,0.842,63,18,70,11,735,125,386,224,93,187,106,0.241
Phi4-CoTToT,0,"[[18  0]
 [17 46]]",18,0,17,46,81,0,0.79,0.73,1.0,0.844,63,18,46,35,735,125,386,224,106,187,93,0.275
Phi4-CoTToT,1,"[[18  0]
 [14 49]]",18,0,14,49,81,0,0.827,0.778,1.0,0.875,63,18,49,32,735,125,386,224,113,187,86,0.293
Phi4-CoTToT,2,"[[18  0]
 [14 49]]",18,0,14,49,81,0,0.827,0.778,1.0,0.875,63,18,49,32,735,125,386,224,110,187,89,0.285
Phi4-NaiveRAG,0,"[[15  3]
 [19 44]]",15,3,19,44,81,0,0.728,0.698,0.936,0.8,63,18,47,34,735,125,386,224,70,187,129,0.181
Phi4-NaiveRAG,1,"[[17  1]
 [13 50]]",17,1,13,50,81,0,0.827,0.794,0.98,0.877,63,18,51,30,735,125,386,224,113,187,86,0.293
Phi4-NaiveRAG,2,"[[16  2]
 [13 50]]",16,2,13,50,81,0,0.815,0.794,0.962,0.87,63,18,52,29,735,125,386,224,114,187,85,0.295
Qwen-QWQ-CoTToT,0,"[[16  0]
 [13 49]]",16,0,13,49,78,3,0.833,0.79,1.0,0.883,63,18,49,29,735,125,386,224,110,187,89,0.285
Qwen-QWQ-CoTToT,1,"[[15  1]
 [13 49]]",15,1,13,49,78,3,0.821,0.79,0.98,0.875,63,18,50,28,735,125,386,224,110,187,89,0.285
Qwen-QWQ-CoTToT,2,"[[15  1]
 [11 51]]",15,1,11,51,78,3,0.846,0.823,0.981,0.895,63,18,52,26,735,125,386,224,116,187,83,0.301
Qwen-QWQ-NaiveRAG,0,"[[ 8 10]
 [ 3 59]]",8,10,3,59,80,1,0.838,0.952,0.855,0.901,63,18,69,11,735,125,386,224,132,187,67,0.342
Qwen-QWQ-NaiveRAG,1,"[[ 8 10]
 [ 5 56]]",8,10,5,56,79,2,0.81,0.918,0.848,0.882,63,18,66,13,735,125,386,224,128,187,71,0.332
Qwen-QWQ-NaiveRAG,2,"[[ 7 11]
 [ 4 57]]",7,11,4,57,79,2,0.81,0.934,0.838,0.884,63,18,68,11,735,125,386,224,129,187,70,0.334
Zephyr-Beta-CoTToT,0,"[[10  7]
 [10 50]]",10,7,10,50,77,4,0.779,0.833,0.877,0.855,63,18,57,20,735,125,386,224,114,187,85,0.295
Zephyr-Beta-CoTToT,1,"[[10  7]
 [10 50]]",10,7,10,50,77,4,0.779,0.833,0.877,0.855,63,18,57,20,735,125,386,224,114,187,85,0.295
Zephyr-Beta-CoTToT,2,"[[10  7]
 [10 50]]",10,7,10,50,77,4,0.779,0.833,0.877,0.855,63,18,57,20,735,125,386,224,114,187,85,0.295
Zephyr-Beta-NaiveRAG,0,"[[ 1 16]
 [ 3 59]]",1,16,3,59,79,2,0.759,0.952,0.787,0.861,63,18,75,4,730,125,382,223,104,187,91,0.272
Zephyr-Beta-NaiveRAG,1,"[[ 2 16]
 [ 4 59]]",2,16,4,59,81,0,0.753,0.937,0.787,0.855,63,18,75,6,735,125,386,224,123,187,76,0.319
Zephyr-Beta-NaiveRAG,2,"[[ 2 14]
 [ 5 56]]",2,14,5,56,77,4,0.753,0.918,0.8,0.855,63,18,70,7,632,89,386,157,99,187,100,0.256
