model,round,conf_matrix,tn,fp,fn,tp,total_classifications,total_lost_classifications,accuracy,recall,precision,f1,total_truth_class_low_priority_edits,total_truth_class_high_priority_edits,total_predicted_class_low_priority_edits,total_predicted_class_high_priority_edits,total_cts,total_new,total_obsolete,total_reusable,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
Mistral-NaiveRAG,2,"[[21  1]
 [34 44]]",21,1,34,44,100,0,0.65,0.564,0.978,0.715,78,22,45,55,314,77,214,23,71,0,143,0.332
Mixtral-CoTToT,0,"[[11 11]
 [ 7 71]]",11,11,7,71,100,0,0.82,0.91,0.866,0.888,78,22,82,18,314,77,214,23,178,0,36,0.832
Mixtral-CoTToT,1,"[[10 12]
 [ 7 71]]",10,12,7,71,100,0,0.81,0.91,0.855,0.882,78,22,83,17,314,77,214,23,178,0,36,0.832
Mixtral-CoTToT,2,"[[ 9 13]
 [ 7 71]]",9,13,7,71,100,0,0.8,0.91,0.845,0.877,78,22,84,16,314,77,214,23,178,0,36,0.832
Mixtral-NaiveRAG,0,"[[ 8 14]
 [ 7 71]]",8,14,7,71,100,0,0.79,0.91,0.835,0.871,78,22,85,15,314,77,214,23,178,0,36,0.832
Mixtral-NaiveRAG,1,"[[ 8 14]
 [ 7 71]]",8,14,7,71,100,0,0.79,0.91,0.835,0.871,78,22,85,15,314,77,214,23,178,0,36,0.832
Mixtral-NaiveRAG,2,"[[ 7 15]
 [ 8 70]]",7,15,8,70,100,0,0.77,0.897,0.824,0.859,78,22,85,15,314,77,214,23,177,0,37,0.827
Openchat-3.5-CoTToT,0,"[[14  8]
 [ 5 73]]",14,8,5,73,100,0,0.87,0.936,0.901,0.918,78,22,81,19,314,77,214,23,172,0,42,0.804
Openchat-3.5-CoTToT,1,"[[15  7]
 [ 5 73]]",15,7,5,73,100,0,0.88,0.936,0.912,0.924,78,22,80,20,314,77,214,23,167,0,47,0.78
Openchat-3.5-CoTToT,2,"[[12 10]
 [ 6 72]]",12,10,6,72,100,0,0.84,0.923,0.878,0.9,78,22,82,18,314,77,214,23,167,0,47,0.78
Openchat-3.5-NaiveRAG,0,"[[ 6 16]
 [ 8 70]]",6,16,8,70,100,0,0.76,0.897,0.814,0.854,78,22,86,14,314,77,214,23,172,0,42,0.804
Openchat-3.5-NaiveRAG,1,"[[ 9 13]
 [ 5 73]]",9,13,5,73,100,0,0.82,0.936,0.849,0.89,78,22,86,14,314,77,214,23,170,0,44,0.794
Openchat-3.5-NaiveRAG,2,"[[ 8 14]
 [ 5 73]]",8,14,5,73,100,0,0.81,0.936,0.839,0.885,78,22,87,13,314,77,214,23,170,0,44,0.794
Phi4-CoTToT,0,"[[22  0]
 [21 57]]",22,0,21,57,100,0,0.79,0.731,1.0,0.844,78,22,57,43,314,77,214,23,151,0,63,0.706
Phi4-CoTToT,1,"[[22  0]
 [22 56]]",22,0,22,56,100,0,0.78,0.718,1.0,0.836,78,22,56,44,314,77,214,23,152,0,62,0.71
Phi4-CoTToT,2,"[[21  1]
 [21 57]]",21,1,21,57,100,0,0.78,0.731,0.983,0.838,78,22,58,42,314,77,214,23,150,0,64,0.701
Phi4-NaiveRAG,0,"[[20  2]
 [15 63]]",20,2,15,63,100,0,0.83,0.808,0.969,0.881,78,22,65,35,314,77,214,23,162,0,52,0.757
Phi4-NaiveRAG,1,"[[19  3]
 [15 63]]",19,3,15,63,100,0,0.82,0.808,0.955,0.875,78,22,66,34,314,77,214,23,162,0,52,0.757
Phi4-NaiveRAG,2,"[[21  1]
 [18 60]]",21,1,18,60,100,0,0.81,0.769,0.984,0.863,78,22,61,39,314,77,214,23,154,0,60,0.72
Qwen-QWQ-CoTToT,0,"[[19  0]
 [20 47]]",19,0,20,47,86,14,0.767,0.701,1.0,0.825,78,22,47,39,311,77,211,23,147,0,64,0.697
Qwen-QWQ-CoTToT,1,"[[19  0]
 [19 46]]",19,0,19,46,84,16,0.774,0.708,1.0,0.829,78,22,46,38,311,77,205,29,146,0,59,0.712
Qwen-QWQ-CoTToT,2,"[[19  0]
 [20 47]]",19,0,20,47,86,14,0.767,0.701,1.0,0.825,78,22,47,39,311,77,211,23,147,0,64,0.697
Qwen-QWQ-NaiveRAG,0,"[[14  7]
 [14 60]]",14,7,14,60,95,5,0.779,0.811,0.896,0.851,78,22,67,28,314,77,214,23,162,0,52,0.757
Qwen-QWQ-NaiveRAG,1,"[[17  5]
 [16 59]]",17,5,16,59,97,3,0.784,0.787,0.922,0.849,78,22,64,33,314,77,214,23,158,0,56,0.738
Qwen-QWQ-NaiveRAG,2,"[[16  6]
 [18 56]]",16,6,18,56,96,4,0.75,0.757,0.903,0.824,78,22,62,34,314,77,214,23,146,0,68,0.682
Zephyr-Beta-CoTToT,0,"[[15  7]
 [23 54]]",15,7,23,54,99,1,0.697,0.701,0.885,0.783,78,22,61,38,314,77,214,23,107,0,107,0.5
Zephyr-Beta-CoTToT,1,"[[15  7]
 [23 54]]",15,7,23,54,99,1,0.697,0.701,0.885,0.783,78,22,61,38,314,77,214,23,107,0,107,0.5
Zephyr-Beta-CoTToT,2,"[[15  7]
 [23 54]]",15,7,23,54,99,1,0.697,0.701,0.885,0.783,78,22,61,38,314,77,214,23,107,0,107,0.5
Zephyr-Beta-NaiveRAG,0,"[[ 6 16]
 [ 4 73]]",6,16,4,73,99,1,0.798,0.948,0.82,0.88,78,22,89,10,314,77,214,23,177,0,37,0.827
Zephyr-Beta-NaiveRAG,1,"[[ 7 15]
 [ 6 70]]",7,15,6,70,98,2,0.786,0.921,0.824,0.87,78,22,85,13,298,77,198,23,152,0,46,0.768
Zephyr-Beta-NaiveRAG,2,"[[ 6 16]
 [ 6 70]]",6,16,6,70,98,2,0.776,0.921,0.814,0.864,78,22,86,12,312,77,212,23,162,0,50,0.764
